vendor_id,product_id,vendor_product_code,unit_cost,lead_time_days,is_preferred_vendor
10,52,VP-10-52,2.92,4,False
3,52,VP-3-52,2.88,5,True
5,53,VP-5-53,2.71,9,False
14,53,VP-14-53,3.32,10,True
14,54,VP-14-54,3.88,7,True
18,54,VP-18-54,3.76,10,False
3,55,VP-3-55,5.16,7,True
4,55,VP-4-55,4.27,2,False
13,56,VP-13-56,3.8,3,False
11,56,VP-11-56,4.05,10,True
18,57,VP-18-57,2.74,8,True
19,58,VP-19-58,7.06,2,True
17,58,VP-17-58,7.44,6,False
3,59,VP-3-59,2.93,7,True
4,59,VP-4-59,3.05,5,False
12,60,VP-12-60,3.2,9,True
16,60,VP-16-60,3.05,6,False
4,61,VP-4-61,0.51,4,False
1,61,VP-1-61,0.56,5,True
18,62,VP-18-62,2.49,9,False
6,62,VP-6-62,2.19,8,True
6,63,VP-6-63,3.4,5,False
14,63,VP-14-63,4.04,8,True
7,64,VP-7-64,5.64,3,False
20,64,VP-20-64,5.3,10,True
11,65,VP-11-65,3.52,9,False
7,65,VP-7-65,4.15,7,True
20,66,VP-20-66,5.64,9,True
13,66,VP-13-66,6.23,6,False
19,67,VP-19-67,4.0,7,True
10,68,VP-10-68,1.94,4,True
4,68,VP-4-68,2.04,8,False
19,69,VP-19-69,2.77,10,False
13,69,VP-13-69,3.36,4,True
16,70,VP-16-70,8.37,9,True
10,70,VP-10-70,9.89,7,False
16,71,VP-16-71,1.96,8,True
17,72,VP-17-72,5.17,9,True
15,73,VP-15-73,2.17,2,True
16,73,VP-16-73,2.85,5,False
9,74,VP-9-74,1.99,9,False
8,74,VP-8-74,2.32,9,True
4,75,VP-4-75,9.72,10,True
19,75,VP-19-75,11.91,7,False
2,76,VP-2-76,2.5,3,True
15,76,VP-15-76,2.3,5,False
2,77,VP-2-77,4.1,3,False
15,77,VP-15-77,4.25,3,True
8,78,VP-8-78,5.03,7,True
20,79,VP-20-79,2.88,4,True
7,80,VP-7-80,4.87,10,True
18,81,VP-18-81,3.08,6,False
6,81,VP-6-81,2.41,6,True
17,82,VP-17-82,4.9,8,True
9,83,VP-9-83,4.42,4,True
11,84,VP-11-84,4.96,6,False
8,84,VP-8-84,5.22,8,True
3,85,VP-3-85,2.63,7,False
13,85,VP-13-85,2.41,9,True
1,86,VP-1-86,4.57,7,False
3,86,VP-3-86,4.92,10,True
14,87,VP-14-87,5.0,6,False
7,87,VP-7-87,5.15,4,True
16,88,VP-16-88,3.22,9,True
11,88,VP-11-88,3.18,4,False
1,89,VP-1-89,3.65,4,True
14,89,VP-14-89,3.52,6,False
9,90,VP-9-90,3.19,7,False
3,90,VP-3-90,3.72,4,True
10,91,VP-10-91,5.16,3,False
8,91,VP-8-91,3.98,9,True
19,92,VP-19-92,1.44,7,False
8,92,VP-8-92,1.97,8,True
16,93,VP-16-93,1.8,3,True
4,94,VP-4-94,4.96,6,True
5,95,VP-5-95,2.35,2,True
20,95,VP-20-95,2.42,4,False
7,96,VP-7-96,3.74,9,False
5,96,VP-5-96,4.06,3,True
5,97,VP-5-97,2.26,8,True
14,98,VP-14-98,3.06,3,True
11,98,VP-11-98,3.06,6,False
1,99,VP-1-99,3.96,10,True
13,100,VP-13-100,4.99,5,True
10,100,VP-10-100,4.51,3,False
20,101,VP-20-101,7.86,7,True
3,101,VP-3-101,5.75,8,False
6,102,VP-6-102,4.74,3,True
16,102,VP-16-102,4.73,5,False
2,103,VP-2-103,2.26,10,False
13,103,VP-13-103,2.37,8,True
3,104,VP-3-104,2.4,6,True
7,105,VP-7-105,3.56,3,False
5,105,VP-5-105,3.45,8,True
8,106,VP-8-106,4.36,8,True
20,107,VP-20-107,1.98,4,False
2,107,VP-2-107,1.61,4,True
6,108,VP-6-108,5.6,10,True
9,109,VP-9-109,2.71,6,False
6,109,VP-6-109,3.42,3,True
1,110,VP-1-110,4.45,6,True
9,111,VP-9-111,11.84,10,True
19,111,VP-19-111,11.24,9,False
6,112,VP-6-112,2.82,3,True
4,113,VP-4-113,3.04,2,True
1,114,VP-1-114,3.11,8,True
8,114,VP-8-114,3.64,4,False
2,115,VP-2-115,7.81,5,True
11,116,VP-11-116,1.36,3,True
9,116,VP-9-116,1.33,2,False
17,117,VP-17-117,1.75,9,False
2,117,VP-2-117,2.36,6,True
18,118,VP-18-118,9.09,6,True
15,118,VP-15-118,9.78,6,False
8,119,VP-8-119,2.3,9,True
7,120,VP-7-120,5.85,8,True
18,121,VP-18-121,0.82,2,True
12,121,VP-12-121,0.77,8,False
10,122,VP-10-122,2.46,5,True
2,123,VP-2-123,6.13,5,False
5,123,VP-5-123,8.28,10,True
12,124,VP-12-124,3.19,10,True
15,124,VP-15-124,2.68,8,False
19,125,VP-19-125,2.48,4,False
2,125,VP-2-125,2.11,6,True
13,126,VP-13-126,2.33,6,True
7,127,VP-7-127,4.24,4,True
5,127,VP-5-127,4.77,7,False
18,128,VP-18-128,2.44,9,True
12,128,VP-12-128,2.27,3,False
10,129,VP-10-129,2.49,7,True
2,129,VP-2-129,1.93,5,False
13,130,VP-13-130,8.03,6,True
6,131,VP-6-131,4.52,9,True
18,132,VP-18-132,5.28,4,True
8,132,VP-8-132,4.6,2,False
8,133,VP-8-133,0.91,8,True
3,134,VP-3-134,4.36,3,False
19,134,VP-19-134,3.11,3,True
15,135,VP-15-135,4.16,7,True
5,135,VP-5-135,3.11,9,False
19,136,VP-19-136,3.36,8,False
14,136,VP-14-136,3.6,4,True
6,137,VP-6-137,2.92,4,False
9,137,VP-9-137,2.46,5,True
16,138,VP-16-138,1.12,6,False
14,138,VP-14-138,1.28,8,True
17,139,VP-17-139,8.22,7,True
8,139,VP-8-139,6.91,9,False
19,140,VP-19-140,2.02,4,False
17,140,VP-17-140,1.74,5,True
9,141,VP-9-141,3.43,5,False
2,141,VP-2-141,3.99,3,True
8,142,VP-8-142,13.52,5,True
9,142,VP-9-142,12.66,8,False
6,143,VP-6-143,3.16,7,True
20,143,VP-20-143,3.53,2,False
12,144,VP-12-144,3.18,5,True
16,145,VP-16-145,0.86,2,True
8,146,VP-8-146,4.04,2,True
20,146,VP-20-146,3.75,5,False
11,147,VP-11-147,4.5,7,True
5,148,VP-5-148,7.08,10,True
19,148,VP-19-148,7.28,3,False
13,149,VP-13-149,4.03,7,True
19,149,VP-19-149,3.71,4,False
14,150,VP-14-150,3.73,4,True
