accounting_record_id,store_id,sale_id,purchase_order_id,record_type,record_category,amount,record_date,description,fiscal_period
42,1,42.0,,revenue,sales,68.61,2025-03-29,Revenue from sale 42,2025-03
43,4,43.0,,revenue,sales,16.4,2025-04-28,Revenue from sale 43,2025-04
44,4,44.0,,revenue,sales,37.0,2025-11-29,Revenue from sale 44,2025-11
45,5,45.0,,revenue,sales,16.23,2025-10-21,Revenue from sale 45,2025-10
46,2,46.0,,revenue,sales,18.92,2025-04-09,Revenue from sale 46,2025-04
47,3,47.0,,revenue,sales,26.26,2025-10-05,Revenue from sale 47,2025-10
48,5,48.0,,revenue,sales,20.09,2025-10-18,Revenue from sale 48,2025-10
49,5,49.0,,revenue,sales,45.62,2025-12-24,Revenue from sale 49,2025-12
50,2,50.0,,revenue,sales,20.91,2025-01-18,Revenue from sale 50,2025-01
51,4,51.0,,revenue,sales,16.22,2025-12-05,Revenue from sale 51,2025-12
52,4,52.0,,revenue,sales,54.99,2025-06-02,Revenue from sale 52,2025-06
53,1,53.0,,revenue,sales,17.76,2025-10-14,Revenue from sale 53,2025-10
54,1,54.0,,revenue,sales,56.07,2025-08-19,Revenue from sale 54,2025-08
55,1,55.0,,revenue,sales,10.84,2025-01-04,Revenue from sale 55,2025-01
56,1,56.0,,revenue,sales,36.41,2025-10-27,Revenue from sale 56,2025-10
57,2,57.0,,revenue,sales,111.47,2025-01-18,Revenue from sale 57,2025-01
58,3,58.0,,revenue,sales,8.08,2025-09-08,Revenue from sale 58,2025-09
59,4,59.0,,revenue,sales,48.57,2025-07-17,Revenue from sale 59,2025-07
60,5,60.0,,revenue,sales,31.39,2025-08-17,Revenue from sale 60,2025-08
61,5,61.0,,revenue,sales,26.17,2025-11-14,Revenue from sale 61,2025-11
62,2,62.0,,revenue,sales,15.88,2025-07-27,Revenue from sale 62,2025-07
63,5,63.0,,revenue,sales,35.89,2025-11-12,Revenue from sale 63,2025-11
64,2,64.0,,revenue,sales,66.55,2025-05-25,Revenue from sale 64,2025-05
65,1,65.0,,revenue,sales,15.94,2025-05-24,Revenue from sale 65,2025-05
66,1,66.0,,revenue,sales,32.05,2025-04-26,Revenue from sale 66,2025-04
67,5,67.0,,revenue,sales,35.75,2025-08-20,Revenue from sale 67,2025-08
68,3,68.0,,revenue,sales,52.91,2025-10-04,Revenue from sale 68,2025-10
69,5,69.0,,revenue,sales,18.53,2025-10-12,Revenue from sale 69,2025-10
70,3,70.0,,revenue,sales,18.82,2025-12-30,Revenue from sale 70,2025-12
71,4,71.0,,revenue,sales,14.19,2025-06-23,Revenue from sale 71,2025-06
72,4,72.0,,revenue,sales,40.63,2025-04-20,Revenue from sale 72,2025-04
73,1,73.0,,revenue,sales,32.28,2025-08-02,Revenue from sale 73,2025-08
74,1,74.0,,revenue,sales,28.62,2025-01-15,Revenue from sale 74,2025-01
75,5,75.0,,revenue,sales,48.62,2025-08-23,Revenue from sale 75,2025-08
76,5,76.0,,revenue,sales,34.94,2025-08-20,Revenue from sale 76,2025-08
77,1,77.0,,revenue,sales,15.93,2025-01-16,Revenue from sale 77,2025-01
78,1,78.0,,revenue,sales,41.84,2025-09-27,Revenue from sale 78,2025-09
79,5,79.0,,revenue,sales,86.72,2025-12-08,Revenue from sale 79,2025-12
80,3,80.0,,revenue,sales,27.12,2025-07-18,Revenue from sale 80,2025-07
81,4,81.0,,revenue,sales,40.73,2025-12-05,Revenue from sale 81,2025-12
82,4,82.0,,revenue,sales,41.95,2025-08-17,Revenue from sale 82,2025-08
83,1,83.0,,revenue,sales,27.52,2025-08-10,Revenue from sale 83,2025-08
84,4,84.0,,revenue,sales,42.32,2025-07-13,Revenue from sale 84,2025-07
85,4,85.0,,revenue,sales,33.12,2025-07-23,Revenue from sale 85,2025-07
86,5,86.0,,revenue,sales,18.69,2025-10-30,Revenue from sale 86,2025-10
87,3,87.0,,revenue,sales,54.98,2025-07-22,Revenue from sale 87,2025-07
88,2,88.0,,revenue,sales,29.44,2025-10-15,Revenue from sale 88,2025-10
89,4,89.0,,revenue,sales,21.79,2025-12-06,Revenue from sale 89,2025-12
90,2,90.0,,revenue,sales,32.17,2025-10-22,Revenue from sale 90,2025-10
91,3,91.0,,revenue,sales,34.75,2025-10-21,Revenue from sale 91,2025-10
92,2,92.0,,revenue,sales,15.04,2025-02-02,Revenue from sale 92,2025-02
93,4,93.0,,revenue,sales,13.91,2025-11-08,Revenue from sale 93,2025-11
94,1,94.0,,revenue,sales,20.47,2025-04-10,Revenue from sale 94,2025-04
95,5,95.0,,revenue,sales,38.43,2025-12-06,Revenue from sale 95,2025-12
96,3,96.0,,revenue,sales,75.2,2025-06-15,Revenue from sale 96,2025-06
97,5,97.0,,revenue,sales,43.54,2025-12-17,Revenue from sale 97,2025-12
98,5,98.0,,revenue,sales,28.85,2025-12-24,Revenue from sale 98,2025-12
99,3,99.0,,revenue,sales,17.84,2025-03-05,Revenue from sale 99,2025-03
100,1,100.0,,revenue,sales,42.78,2025-01-04,Revenue from sale 100,2025-01
101,3,101.0,,revenue,sales,53.15,2025-08-15,Revenue from sale 101,2025-08
102,3,102.0,,revenue,sales,14.23,2025-07-23,Revenue from sale 102,2025-07
103,3,103.0,,revenue,sales,19.65,2025-10-14,Revenue from sale 103,2025-10
104,3,104.0,,revenue,sales,38.0,2025-08-10,Revenue from sale 104,2025-08
105,3,105.0,,revenue,sales,19.88,2025-04-06,Revenue from sale 105,2025-04
106,4,106.0,,revenue,sales,26.05,2025-12-15,Revenue from sale 106,2025-12
107,4,107.0,,revenue,sales,35.28,2025-04-20,Revenue from sale 107,2025-04
108,2,108.0,,revenue,sales,31.49,2025-12-14,Revenue from sale 108,2025-12
109,1,109.0,,revenue,sales,22.3,2025-09-21,Revenue from sale 109,2025-09
110,1,110.0,,revenue,sales,38.86,2025-04-16,Revenue from sale 110,2025-04
111,5,111.0,,revenue,sales,24.88,2025-11-17,Revenue from sale 111,2025-11
112,4,112.0,,revenue,sales,15.47,2025-10-20,Revenue from sale 112,2025-10
113,5,113.0,,revenue,sales,19.15,2025-11-30,Revenue from sale 113,2025-11
114,4,114.0,,revenue,sales,19.45,2025-06-15,Revenue from sale 114,2025-06
115,2,115.0,,revenue,sales,32.09,2025-06-26,Revenue from sale 115,2025-06
116,5,116.0,,revenue,sales,35.28,2025-12-24,Revenue from sale 116,2025-12
117,1,117.0,,revenue,sales,47.4,2025-07-28,Revenue from sale 117,2025-07
118,4,118.0,,revenue,sales,44.6,2025-10-02,Revenue from sale 118,2025-10
119,2,119.0,,revenue,sales,41.22,2025-07-01,Revenue from sale 119,2025-07
120,2,120.0,,revenue,sales,18.61,2025-12-21,Revenue from sale 120,2025-12
121,2,121.0,,revenue,sales,13.38,2025-09-06,Revenue from sale 121,2025-09
122,3,122.0,,revenue,sales,73.8,2025-03-02,Revenue from sale 122,2025-03
123,3,123.0,,revenue,sales,23.06,2025-04-10,Revenue from sale 123,2025-04
124,3,124.0,,revenue,sales,28.74,2025-05-11,Revenue from sale 124,2025-05
125,5,125.0,,revenue,sales,41.72,2025-08-22,Revenue from sale 125,2025-08
126,2,126.0,,revenue,sales,37.86,2025-11-23,Revenue from sale 126,2025-11
127,4,127.0,,revenue,sales,32.89,2025-05-15,Revenue from sale 127,2025-05
128,3,128.0,,revenue,sales,16.36,2025-10-22,Revenue from sale 128,2025-10
129,2,129.0,,revenue,sales,27.34,2025-07-20,Revenue from sale 129,2025-07
130,4,130.0,,revenue,sales,25.67,2025-06-28,Revenue from sale 130,2025-06
131,1,131.0,,revenue,sales,45.37,2025-01-08,Revenue from sale 131,2025-01
132,2,132.0,,revenue,sales,119.0,2025-01-10,Revenue from sale 132,2025-01
133,3,133.0,,revenue,sales,22.56,2025-11-05,Revenue from sale 133,2025-11
134,3,134.0,,revenue,sales,78.43,2025-09-25,Revenue from sale 134,2025-09
135,1,135.0,,revenue,sales,43.02,2025-10-03,Revenue from sale 135,2025-10
136,3,136.0,,revenue,sales,22.89,2025-01-25,Revenue from sale 136,2025-01
137,3,137.0,,revenue,sales,76.33,2025-06-19,Revenue from sale 137,2025-06
138,2,138.0,,revenue,sales,36.21,2025-01-07,Revenue from sale 138,2025-01
139,2,139.0,,revenue,sales,36.76,2025-12-25,Revenue from sale 139,2025-12
140,2,140.0,,revenue,sales,44.56,2025-02-24,Revenue from sale 140,2025-02
141,2,141.0,,revenue,sales,45.87,2025-02-23,Revenue from sale 141,2025-02
142,4,142.0,,revenue,sales,23.01,2025-06-18,Revenue from sale 142,2025-06
143,3,143.0,,revenue,sales,23.3,2025-01-17,Revenue from sale 143,2025-01
144,3,144.0,,revenue,sales,31.52,2025-12-21,Revenue from sale 144,2025-12
145,1,145.0,,revenue,sales,19.0,2025-09-20,Revenue from sale 145,2025-09
146,4,146.0,,revenue,sales,35.0,2025-05-25,Revenue from sale 146,2025-05
147,3,147.0,,revenue,sales,23.92,2025-03-17,Revenue from sale 147,2025-03
148,1,148.0,,revenue,sales,54.66,2025-02-15,Revenue from sale 148,2025-02
149,4,149.0,,revenue,sales,17.17,2025-07-20,Revenue from sale 149,2025-07
150,4,150.0,,revenue,sales,34.49,2025-08-17,Revenue from sale 150,2025-08
151,4,151.0,,revenue,sales,38.75,2025-08-17,Revenue from sale 151,2025-08
152,2,152.0,,revenue,sales,56.8,2025-09-17,Revenue from sale 152,2025-09
153,1,153.0,,revenue,sales,41.42,2025-08-27,Revenue from sale 153,2025-08
154,5,154.0,,revenue,sales,28.68,2025-12-12,Revenue from sale 154,2025-12
155,3,155.0,,revenue,sales,31.72,2025-09-09,Revenue from sale 155,2025-09
156,3,156.0,,revenue,sales,37.92,2025-03-02,Revenue from sale 156,2025-03
157,2,157.0,,revenue,sales,31.03,2025-10-30,Revenue from sale 157,2025-10
158,2,158.0,,revenue,sales,16.0,2025-03-23,Revenue from sale 158,2025-03
159,1,159.0,,revenue,sales,15.61,2025-12-23,Revenue from sale 159,2025-12
160,3,160.0,,revenue,sales,41.67,2025-05-04,Revenue from sale 160,2025-05
161,2,161.0,,revenue,sales,16.8,2025-07-15,Revenue from sale 161,2025-07
162,5,162.0,,revenue,sales,35.71,2025-12-06,Revenue from sale 162,2025-12
163,3,163.0,,revenue,sales,24.13,2025-10-25,Revenue from sale 163,2025-10
164,5,164.0,,revenue,sales,51.4,2025-12-10,Revenue from sale 164,2025-12
165,5,165.0,,revenue,sales,41.77,2025-12-23,Revenue from sale 165,2025-12
166,3,166.0,,revenue,sales,33.28,2025-03-26,Revenue from sale 166,2025-03
167,5,167.0,,revenue,sales,27.6,2025-10-25,Revenue from sale 167,2025-10
168,4,168.0,,revenue,sales,42.48,2025-12-26,Revenue from sale 168,2025-12
169,4,169.0,,revenue,sales,9.94,2025-08-23,Revenue from sale 169,2025-08
170,1,170.0,,revenue,sales,27.47,2025-05-19,Revenue from sale 170,2025-05
171,5,171.0,,revenue,sales,20.81,2025-07-17,Revenue from sale 171,2025-07
172,1,172.0,,revenue,sales,44.14,2025-07-24,Revenue from sale 172,2025-07
173,4,173.0,,revenue,sales,10.89,2025-12-10,Revenue from sale 173,2025-12
174,1,174.0,,revenue,sales,86.79,2025-09-06,Revenue from sale 174,2025-09
175,4,175.0,,revenue,sales,70.26,2025-05-03,Revenue from sale 175,2025-05
176,4,176.0,,revenue,sales,22.84,2025-11-27,Revenue from sale 176,2025-11
177,4,177.0,,revenue,sales,60.89,2025-10-18,Revenue from sale 177,2025-10
178,1,178.0,,revenue,sales,46.28,2025-04-30,Revenue from sale 178,2025-04
179,3,179.0,,revenue,sales,13.65,2025-02-14,Revenue from sale 179,2025-02
180,4,180.0,,revenue,sales,32.85,2025-05-16,Revenue from sale 180,2025-05
181,1,181.0,,revenue,sales,12.5,2025-04-29,Revenue from sale 181,2025-04
182,4,182.0,,revenue,sales,50.09,2025-06-21,Revenue from sale 182,2025-06
183,5,183.0,,revenue,sales,81.63,2025-11-09,Revenue from sale 183,2025-11
184,1,184.0,,revenue,sales,19.83,2025-08-02,Revenue from sale 184,2025-08
185,2,185.0,,revenue,sales,23.55,2025-12-23,Revenue from sale 185,2025-12
186,3,186.0,,revenue,sales,11.29,2025-04-01,Revenue from sale 186,2025-04
187,1,187.0,,revenue,sales,18.97,2025-08-09,Revenue from sale 187,2025-08
188,1,188.0,,revenue,sales,30.05,2025-05-16,Revenue from sale 188,2025-05
189,5,189.0,,revenue,sales,53.32,2025-08-29,Revenue from sale 189,2025-08
190,4,190.0,,revenue,sales,17.35,2025-08-07,Revenue from sale 190,2025-08
191,3,191.0,,revenue,sales,33.72,2025-05-17,Revenue from sale 191,2025-05
192,5,192.0,,revenue,sales,84.87,2025-12-21,Revenue from sale 192,2025-12
193,1,193.0,,revenue,sales,30.63,2025-07-12,Revenue from sale 193,2025-07
194,5,194.0,,revenue,sales,62.25,2025-10-18,Revenue from sale 194,2025-10
195,5,195.0,,revenue,sales,44.64,2025-07-27,Revenue from sale 195,2025-07
196,5,196.0,,revenue,sales,13.65,2025-08-28,Revenue from sale 196,2025-08
197,4,197.0,,revenue,sales,36.18,2025-11-27,Revenue from sale 197,2025-11
198,3,198.0,,revenue,sales,16.14,2025-04-02,Revenue from sale 198,2025-04
199,1,199.0,,revenue,sales,19.49,2025-10-12,Revenue from sale 199,2025-10
200,4,200.0,,revenue,sales,38.75,2025-12-04,Revenue from sale 200,2025-12
201,2,201.0,,revenue,sales,12.18,2025-08-16,Revenue from sale 201,2025-08
202,3,202.0,,revenue,sales,62.42,2025-02-13,Revenue from sale 202,2025-02
203,2,203.0,,revenue,sales,29.85,2025-09-02,Revenue from sale 203,2025-09
204,5,204.0,,revenue,sales,17.2,2025-09-20,Revenue from sale 204,2025-09
205,4,205.0,,revenue,sales,15.36,2025-05-07,Revenue from sale 205,2025-05
206,2,206.0,,revenue,sales,43.34,2025-08-03,Revenue from sale 206,2025-08
207,4,207.0,,revenue,sales,61.61,2025-07-02,Revenue from sale 207,2025-07
208,4,208.0,,revenue,sales,26.73,2025-10-22,Revenue from sale 208,2025-10
209,2,209.0,,revenue,sales,19.18,2025-06-08,Revenue from sale 209,2025-06
210,1,210.0,,revenue,sales,17.82,2025-12-17,Revenue from sale 210,2025-12
211,1,211.0,,revenue,sales,31.76,2025-04-17,Revenue from sale 211,2025-04
212,3,212.0,,revenue,sales,41.05,2025-09-14,Revenue from sale 212,2025-09
213,1,213.0,,revenue,sales,37.33,2025-05-03,Revenue from sale 213,2025-05
214,3,214.0,,revenue,sales,63.87,2025-03-19,Revenue from sale 214,2025-03
215,2,215.0,,revenue,sales,32.91,2025-12-24,Revenue from sale 215,2025-12
216,3,216.0,,revenue,sales,52.59,2025-02-13,Revenue from sale 216,2025-02
217,3,217.0,,revenue,sales,44.42,2025-10-03,Revenue from sale 217,2025-10
218,5,218.0,,revenue,sales,31.97,2025-08-19,Revenue from sale 218,2025-08
219,5,219.0,,revenue,sales,14.88,2025-10-19,Revenue from sale 219,2025-10
220,4,220.0,,revenue,sales,37.89,2025-06-08,Revenue from sale 220,2025-06
221,4,221.0,,revenue,sales,25.84,2025-09-22,Revenue from sale 221,2025-09
222,4,222.0,,revenue,sales,12.66,2025-10-07,Revenue from sale 222,2025-10
223,2,223.0,,revenue,sales,60.81,2025-01-07,Revenue from sale 223,2025-01
224,3,224.0,,revenue,sales,44.78,2025-08-17,Revenue from sale 224,2025-08
225,2,225.0,,revenue,sales,22.54,2025-06-16,Revenue from sale 225,2025-06
226,4,226.0,,revenue,sales,17.67,2025-10-11,Revenue from sale 226,2025-10
227,3,227.0,,revenue,sales,24.93,2025-12-28,Revenue from sale 227,2025-12
228,2,228.0,,revenue,sales,19.91,2025-10-09,Revenue from sale 228,2025-10
229,3,229.0,,revenue,sales,21.08,2025-06-20,Revenue from sale 229,2025-06
230,3,230.0,,revenue,sales,32.43,2025-07-27,Revenue from sale 230,2025-07
231,3,231.0,,revenue,sales,15.06,2025-04-01,Revenue from sale 231,2025-04
232,3,232.0,,revenue,sales,38.14,2025-10-12,Revenue from sale 232,2025-10
233,5,233.0,,revenue,sales,29.78,2025-12-26,Revenue from sale 233,2025-12
234,3,234.0,,revenue,sales,16.22,2025-10-14,Revenue from sale 234,2025-10
235,5,235.0,,revenue,sales,15.05,2025-09-15,Revenue from sale 235,2025-09
236,1,236.0,,revenue,sales,15.9,2025-12-05,Revenue from sale 236,2025-12
237,1,237.0,,revenue,sales,57.07,2025-03-27,Revenue from sale 237,2025-03
238,2,238.0,,revenue,sales,35.46,2025-04-05,Revenue from sale 238,2025-04
239,4,239.0,,revenue,sales,66.81,2025-11-12,Revenue from sale 239,2025-11
240,4,240.0,,revenue,sales,50.72,2025-06-14,Revenue from sale 240,2025-06
241,5,241.0,,revenue,sales,43.04,2025-08-10,Revenue from sale 241,2025-08
242,3,242.0,,revenue,sales,7.73,2025-02-24,Revenue from sale 242,2025-02
243,4,243.0,,revenue,sales,40.39,2025-04-28,Revenue from sale 243,2025-04
244,3,244.0,,revenue,sales,30.64,2025-10-24,Revenue from sale 244,2025-10
245,4,245.0,,revenue,sales,12.96,2025-09-23,Revenue from sale 245,2025-09
246,5,246.0,,revenue,sales,16.93,2025-07-12,Revenue from sale 246,2025-07
247,3,247.0,,revenue,sales,42.28,2025-12-12,Revenue from sale 247,2025-12
248,2,248.0,,revenue,sales,28.43,2025-11-05,Revenue from sale 248,2025-11
249,5,249.0,,revenue,sales,16.52,2025-11-30,Revenue from sale 249,2025-11
250,4,250.0,,revenue,sales,47.76,2025-11-02,Revenue from sale 250,2025-11
251,2,251.0,,revenue,sales,29.05,2025-04-14,Revenue from sale 251,2025-04
252,3,252.0,,revenue,sales,42.03,2025-05-25,Revenue from sale 252,2025-05
253,4,253.0,,revenue,sales,34.68,2025-08-17,Revenue from sale 253,2025-08
254,4,254.0,,revenue,sales,15.08,2025-11-30,Revenue from sale 254,2025-11
255,4,255.0,,revenue,sales,31.89,2025-06-20,Revenue from sale 255,2025-06
256,3,256.0,,revenue,sales,49.32,2025-12-03,Revenue from sale 256,2025-12
257,3,257.0,,revenue,sales,34.12,2025-11-22,Revenue from sale 257,2025-11
258,3,258.0,,revenue,sales,43.51,2025-09-13,Revenue from sale 258,2025-09
259,4,259.0,,revenue,sales,21.38,2025-11-12,Revenue from sale 259,2025-11
260,4,260.0,,revenue,sales,15.63,2025-11-21,Revenue from sale 260,2025-11
261,4,261.0,,revenue,sales,54.91,2025-07-27,Revenue from sale 261,2025-07
262,4,262.0,,revenue,sales,21.67,2025-12-04,Revenue from sale 262,2025-12
263,5,263.0,,revenue,sales,29.81,2025-08-05,Revenue from sale 263,2025-08
264,4,264.0,,revenue,sales,34.56,2025-05-28,Revenue from sale 264,2025-05
265,5,265.0,,revenue,sales,15.11,2025-10-10,Revenue from sale 265,2025-10
266,1,266.0,,revenue,sales,11.91,2025-11-26,Revenue from sale 266,2025-11
267,3,267.0,,revenue,sales,26.01,2025-06-22,Revenue from sale 267,2025-06
268,4,268.0,,revenue,sales,20.51,2025-09-16,Revenue from sale 268,2025-09
269,5,269.0,,revenue,sales,20.51,2025-10-26,Revenue from sale 269,2025-10
270,4,270.0,,revenue,sales,39.08,2025-07-09,Revenue from sale 270,2025-07
271,2,271.0,,revenue,sales,54.25,2025-09-12,Revenue from sale 271,2025-09
272,2,272.0,,revenue,sales,33.71,2025-12-24,Revenue from sale 272,2025-12
273,5,273.0,,revenue,sales,43.18,2025-09-24,Revenue from sale 273,2025-09
274,2,274.0,,revenue,sales,20.54,2025-04-26,Revenue from sale 274,2025-04
275,4,275.0,,revenue,sales,34.22,2025-07-07,Revenue from sale 275,2025-07
276,1,276.0,,revenue,sales,19.46,2025-12-20,Revenue from sale 276,2025-12
277,5,277.0,,revenue,sales,46.35,2025-09-29,Revenue from sale 277,2025-09
278,4,278.0,,revenue,sales,30.37,2025-08-10,Revenue from sale 278,2025-08
279,3,279.0,,revenue,sales,35.91,2025-11-01,Revenue from sale 279,2025-11
280,4,280.0,,revenue,sales,27.21,2025-06-06,Revenue from sale 280,2025-06
281,3,281.0,,revenue,sales,29.27,2025-08-03,Revenue from sale 281,2025-08
282,5,282.0,,revenue,sales,41.57,2025-07-21,Revenue from sale 282,2025-07
283,5,283.0,,revenue,sales,20.1,2025-12-24,Revenue from sale 283,2025-12
284,2,284.0,,revenue,sales,65.3,2025-08-16,Revenue from sale 284,2025-08
285,3,285.0,,revenue,sales,17.43,2025-04-27,Revenue from sale 285,2025-04
286,5,286.0,,revenue,sales,27.09,2025-11-19,Revenue from sale 286,2025-11
287,4,287.0,,revenue,sales,42.86,2025-09-11,Revenue from sale 287,2025-09
288,3,288.0,,revenue,sales,17.98,2025-04-30,Revenue from sale 288,2025-04
289,5,289.0,,revenue,sales,19.76,2025-11-15,Revenue from sale 289,2025-11
290,5,290.0,,revenue,sales,13.41,2025-08-05,Revenue from sale 290,2025-08
291,4,291.0,,revenue,sales,10.99,2025-12-18,Revenue from sale 291,2025-12
292,3,292.0,,revenue,sales,32.25,2025-12-07,Revenue from sale 292,2025-12
293,5,293.0,,revenue,sales,38.36,2025-11-29,Revenue from sale 293,2025-11
294,5,294.0,,revenue,sales,45.17,2025-11-27,Revenue from sale 294,2025-11
295,5,295.0,,revenue,sales,42.35,2025-10-26,Revenue from sale 295,2025-10
296,2,296.0,,revenue,sales,20.12,2025-06-19,Revenue from sale 296,2025-06
297,2,297.0,,revenue,sales,28.12,2025-08-04,Revenue from sale 297,2025-08
298,1,298.0,,revenue,sales,18.06,2025-08-03,Revenue from sale 298,2025-08
299,2,299.0,,revenue,sales,19.79,2025-06-10,Revenue from sale 299,2025-06
300,4,300.0,,revenue,sales,17.98,2025-06-03,Revenue from sale 300,2025-06
301,2,301.0,,revenue,sales,35.55,2025-02-26,Revenue from sale 301,2025-02
302,3,302.0,,revenue,sales,36.23,2025-02-10,Revenue from sale 302,2025-02
303,2,303.0,,revenue,sales,29.86,2025-06-08,Revenue from sale 303,2025-06
304,3,304.0,,revenue,sales,36.45,2025-03-06,Revenue from sale 304,2025-03
305,5,305.0,,revenue,sales,34.05,2025-12-09,Revenue from sale 305,2025-12
306,3,306.0,,revenue,sales,21.23,2025-11-03,Revenue from sale 306,2025-11
307,1,307.0,,revenue,sales,61.94,2025-03-22,Revenue from sale 307,2025-03
308,2,308.0,,revenue,sales,30.25,2025-02-06,Revenue from sale 308,2025-02
309,3,309.0,,revenue,sales,24.87,2025-06-15,Revenue from sale 309,2025-06
310,5,310.0,,revenue,sales,23.92,2025-11-03,Revenue from sale 310,2025-11
311,3,311.0,,revenue,sales,22.26,2025-12-19,Revenue from sale 311,2025-12
312,3,312.0,,revenue,sales,26.88,2025-03-02,Revenue from sale 312,2025-03
313,2,313.0,,revenue,sales,12.98,2025-10-04,Revenue from sale 313,2025-10
314,5,314.0,,revenue,sales,37.22,2025-12-27,Revenue from sale 314,2025-12
315,5,315.0,,revenue,sales,31.36,2025-07-22,Revenue from sale 315,2025-07
316,5,316.0,,revenue,sales,50.78,2025-10-28,Revenue from sale 316,2025-10
317,5,317.0,,revenue,sales,27.69,2025-12-20,Revenue from sale 317,2025-12
318,1,318.0,,revenue,sales,26.34,2025-05-11,Revenue from sale 318,2025-05
319,5,319.0,,revenue,sales,66.39,2025-10-12,Revenue from sale 319,2025-10
320,5,320.0,,revenue,sales,26.52,2025-08-19,Revenue from sale 320,2025-08
321,3,321.0,,revenue,sales,42.76,2025-11-09,Revenue from sale 321,2025-11
322,1,322.0,,revenue,sales,20.84,2025-02-08,Revenue from sale 322,2025-02
323,2,323.0,,revenue,sales,35.96,2025-03-12,Revenue from sale 323,2025-03
324,3,324.0,,revenue,sales,27.59,2025-12-28,Revenue from sale 324,2025-12
325,3,325.0,,revenue,sales,28.48,2025-03-09,Revenue from sale 325,2025-03
326,1,326.0,,revenue,sales,32.54,2025-03-16,Revenue from sale 326,2025-03
327,2,327.0,,revenue,sales,39.55,2025-08-03,Revenue from sale 327,2025-08
328,5,328.0,,revenue,sales,43.9,2025-09-27,Revenue from sale 328,2025-09
329,2,329.0,,revenue,sales,36.04,2025-12-31,Revenue from sale 329,2025-12
330,4,330.0,,revenue,sales,33.64,2025-10-10,Revenue from sale 330,2025-10
331,1,331.0,,revenue,sales,12.72,2025-07-23,Revenue from sale 331,2025-07
