shift_id,employee_id,store_id,department_id,shift_start_date,shift_end_date,clock_in_time,clock_out_time,shift_status
46,8,1,5,2025-07-09,2025-07-09,2025-07-09 10:00:00,2025-07-09 18:56:00,completed
47,8,1,5,2025-07-02,2025-07-02,2025-07-02 08:03:00,2025-07-02 16:11:00,completed
48,8,1,5,2025-12-26,2025-12-26,2025-12-26 06:55:00,2025-12-26 16:02:00,completed
49,9,1,2,2025-10-23,2025-10-23,2025-10-23 09:59:00,2025-10-23 18:50:00,completed
50,9,1,2,2025-10-17,2025-10-17,2025-10-17 08:01:00,2025-10-17 15:50:00,completed
51,9,1,2,2025-10-29,2025-10-29,2025-10-29 08:02:00,2025-10-29 17:03:00,completed
52,9,1,2,2025-12-05,2025-12-05,2025-12-05 08:09:00,2025-12-05 15:54:00,completed
53,9,1,2,2025-12-12,2025-12-12,2025-12-12 10:00:00,2025-12-12 18:54:00,completed
54,9,1,2,2025-11-19,2025-11-19,2025-11-19 10:09:00,2025-11-19 19:08:00,completed
55,10,1,2,2025-04-19,2025-04-19,2025-04-19 12:04:00,2025-04-19 18:51:00,completed
56,10,1,2,2025-03-28,2025-03-28,2025-03-28 12:10:00,2025-03-28 18:57:00,completed
57,10,1,2,2025-05-09,2025-05-09,2025-05-09 14:08:00,2025-05-09 20:08:00,completed
58,10,1,2,2025-09-14,2025-09-14,2025-09-14 11:08:00,2025-09-14 19:05:00,completed
59,10,1,2,2025-06-29,2025-06-29,2025-06-29 09:06:00,2025-06-29 16:04:00,completed
60,10,1,2,2025-01-25,2025-01-25,2025-01-25 14:04:00,2025-01-25 21:13:00,completed
61,11,1,4,2025-03-28,2025-03-28,2025-03-28 14:04:00,2025-03-28 21:13:00,completed
62,11,1,4,2025-08-03,2025-08-03,,,missed
63,11,1,4,2025-06-08,2025-06-08,2025-06-08 15:06:00,2025-06-08 23:15:00,completed
64,11,1,4,2025-07-19,2025-07-19,2025-07-19 12:04:00,2025-07-19 18:12:00,completed
65,11,1,4,2025-04-13,2025-04-13,2025-04-13 13:59:00,2025-04-13 19:55:00,completed
66,11,1,4,2025-08-17,2025-08-17,2025-08-17 09:58:00,2025-08-17 16:15:00,completed
67,12,1,7,2025-07-04,2025-07-04,2025-07-04 07:56:00,2025-07-04 14:15:00,completed
68,12,1,7,2025-08-08,2025-08-08,2025-08-08 07:02:00,2025-08-08 13:53:00,completed
69,12,1,7,2025-05-17,2025-05-17,2025-05-17 13:05:00,2025-05-17 19:15:00,completed
70,12,1,7,2025-04-19,2025-04-19,2025-04-19 11:03:00,2025-04-19 16:54:00,completed
71,12,1,7,2025-04-05,2025-04-05,2025-04-05 14:58:00,2025-04-05 23:12:00,completed
72,12,1,7,2025-09-07,2025-09-07,2025-09-07 08:58:00,2025-09-07 15:53:00,completed
73,13,1,7,2025-12-21,2025-12-21,2025-12-21 11:09:00,2025-12-21 17:14:00,completed
74,13,1,7,2025-10-03,2025-10-03,2025-10-03 12:58:00,2025-10-03 19:54:00,completed
75,13,1,7,2025-12-26,2025-12-26,2025-12-26 13:59:00,2025-12-26 20:53:00,completed
76,13,1,7,2025-02-16,2025-02-16,2025-02-16 15:08:00,2025-02-16 21:14:00,completed
77,13,1,7,2025-09-05,2025-09-05,2025-09-05 15:10:00,2025-09-05 21:00:00,completed
78,13,1,7,2025-01-17,2025-01-17,2025-01-17 09:03:00,2025-01-17 17:01:00,completed
79,14,1,5,2025-11-14,2025-11-14,2025-11-14 15:08:00,2025-11-14 22:04:00,completed
80,14,1,5,2025-12-05,2025-12-05,2025-12-05 15:06:00,2025-12-05 22:50:00,completed
81,14,1,5,2025-07-06,2025-07-06,2025-07-06 11:57:00,2025-07-06 17:52:00,completed
82,14,1,5,2025-06-14,2025-06-14,2025-06-14 11:00:00,2025-06-14 18:03:00,completed
83,14,1,5,2025-10-10,2025-10-10,2025-10-10 06:59:00,2025-10-10 14:08:00,completed
84,14,1,5,2025-10-24,2025-10-24,,,missed
85,15,1,4,2025-12-28,2025-12-28,2025-12-28 11:03:00,2025-12-28 18:06:00,completed
86,15,1,4,2025-10-26,2025-10-26,2025-10-26 13:09:00,2025-10-26 19:10:00,completed
87,15,1,4,2025-08-24,2025-08-24,2025-08-24 10:09:00,2025-08-24 18:12:00,completed
88,15,1,4,2025-05-10,2025-05-10,2025-05-10 11:01:00,2025-05-10 18:59:00,completed
89,15,1,4,2025-07-06,2025-07-06,2025-07-06 09:07:00,2025-07-06 15:13:00,completed
90,15,1,4,2025-06-29,2025-06-29,2025-06-29 14:04:00,2025-06-29 21:56:00,completed
91,16,2,2,2025-02-04,2025-02-04,2025-02-04 07:58:00,2025-02-04 17:13:00,completed
92,16,2,2,2025-08-11,2025-08-11,2025-08-11 07:06:00,2025-08-11 15:53:00,completed
93,16,2,2,2025-09-01,2025-09-01,2025-09-01 06:55:00,2025-09-01 15:04:00,completed
94,16,2,2,2025-05-16,2025-05-16,2025-05-16 09:02:00,2025-05-16 17:01:00,completed
95,16,2,2,2025-08-22,2025-08-22,2025-08-22 08:59:00,2025-08-22 18:12:00,completed
96,16,2,2,2025-05-28,2025-05-28,2025-05-28 10:01:00,2025-05-28 18:14:00,completed
97,17,2,5,2025-06-12,2025-06-12,2025-06-12 10:06:00,2025-06-12 18:11:00,completed
98,17,2,5,2025-07-21,2025-07-21,2025-07-21 10:10:00,2025-07-21 19:10:00,completed
99,17,2,5,2025-02-10,2025-02-10,2025-02-10 10:10:00,2025-02-10 19:13:00,completed
100,17,2,5,2025-03-03,2025-03-03,2025-03-03 09:59:00,2025-03-03 18:05:00,completed
101,17,2,5,2025-11-13,2025-11-13,,,missed
102,17,2,5,2025-07-08,2025-07-08,2025-07-08 06:56:00,2025-07-08 15:13:00,completed
103,18,2,5,2025-03-10,2025-03-10,2025-03-10 08:06:00,2025-03-10 15:59:00,completed
104,18,2,5,2025-09-01,2025-09-01,2025-09-01 08:59:00,2025-09-01 17:54:00,completed
105,18,2,5,2025-06-11,2025-06-11,,,missed
106,18,2,5,2025-02-21,2025-02-21,2025-02-21 09:10:00,2025-02-21 17:50:00,completed
107,18,2,5,2025-09-24,2025-09-24,2025-09-24 06:56:00,2025-09-24 16:03:00,completed
108,18,2,5,2025-06-30,2025-06-30,2025-06-30 10:05:00,2025-06-30 19:15:00,completed
109,19,2,7,2025-06-20,2025-06-20,2025-06-20 07:07:00,2025-06-20 16:00:00,completed
110,19,2,7,2025-07-31,2025-07-31,2025-07-31 06:57:00,2025-07-31 15:55:00,completed
111,19,2,7,2025-11-20,2025-11-20,2025-11-20 06:58:00,2025-11-20 16:10:00,completed
112,19,2,7,2025-09-25,2025-09-25,,,missed
113,19,2,7,2025-02-25,2025-02-25,2025-02-25 06:55:00,2025-02-25 14:53:00,completed
114,19,2,7,2025-12-03,2025-12-03,2025-12-03 08:01:00,2025-12-03 15:57:00,completed
115,20,2,4,2025-11-12,2025-11-12,2025-11-12 08:55:00,2025-11-12 18:06:00,completed
116,20,2,4,2025-09-18,2025-09-18,2025-09-18 08:58:00,2025-09-18 17:53:00,completed
117,20,2,4,2025-07-18,2025-07-18,2025-07-18 08:03:00,2025-07-18 17:14:00,completed
118,20,2,4,2025-02-03,2025-02-03,2025-02-03 07:08:00,2025-02-03 15:11:00,completed
119,20,2,4,2025-08-28,2025-08-28,2025-08-28 08:05:00,2025-08-28 15:55:00,completed
120,20,2,4,2025-09-22,2025-09-22,2025-09-22 06:58:00,2025-09-22 15:00:00,completed
121,21,2,1,2025-03-03,2025-03-03,,,missed
122,21,2,1,2025-07-01,2025-07-01,2025-07-01 09:08:00,2025-07-01 16:52:00,completed
123,21,2,1,2025-05-20,2025-05-20,2025-05-20 10:02:00,2025-05-20 17:50:00,completed
124,21,2,1,2025-04-25,2025-04-25,2025-04-25 08:59:00,2025-04-25 16:59:00,completed
125,21,2,1,2025-06-20,2025-06-20,2025-06-20 10:01:00,2025-06-20 19:15:00,completed
126,21,2,1,2025-02-18,2025-02-18,2025-02-18 08:00:00,2025-02-18 17:15:00,completed
127,22,2,6,2025-04-14,2025-04-14,2025-04-14 07:03:00,2025-04-14 16:11:00,completed
128,22,2,6,2025-08-28,2025-08-28,2025-08-28 10:01:00,2025-08-28 19:08:00,completed
129,22,2,6,2025-07-11,2025-07-11,2025-07-11 08:57:00,2025-07-11 16:59:00,completed
130,22,2,6,2025-09-03,2025-09-03,2025-09-03 06:59:00,2025-09-03 16:13:00,completed
131,22,2,6,2025-07-15,2025-07-15,2025-07-15 09:05:00,2025-07-15 18:11:00,completed
132,22,2,6,2025-01-13,2025-01-13,,,missed
133,23,2,3,2025-11-12,2025-11-12,2025-11-12 07:55:00,2025-11-12 15:50:00,completed
134,23,2,3,2025-07-15,2025-07-15,2025-07-15 08:10:00,2025-07-15 17:14:00,completed
135,23,2,3,2025-05-01,2025-05-01,2025-05-01 09:57:00,2025-05-01 18:07:00,completed
136,23,2,3,2025-04-18,2025-04-18,2025-04-18 07:06:00,2025-04-18 16:02:00,completed
137,23,2,3,2025-10-22,2025-10-22,2025-10-22 08:55:00,2025-10-22 17:53:00,completed
138,23,2,3,2025-05-19,2025-05-19,,,missed
139,24,2,2,2025-07-16,2025-07-16,,,missed
140,24,2,2,2025-01-01,2025-01-01,2025-01-01 07:01:00,2025-01-01 15:50:00,completed
141,24,2,2,2025-04-07,2025-04-07,2025-04-07 08:03:00,2025-04-07 17:08:00,completed
142,24,2,2,2025-11-28,2025-11-28,2025-11-28 10:00:00,2025-11-28 17:52:00,completed
143,24,2,2,2025-01-08,2025-01-08,2025-01-08 08:02:00,2025-01-08 16:06:00,completed
144,24,2,2,2025-04-29,2025-04-29,2025-04-29 08:55:00,2025-04-29 17:12:00,completed
145,25,2,7,2025-11-22,2025-11-22,2025-11-22 12:09:00,2025-11-22 19:05:00,completed
146,25,2,7,2025-12-28,2025-12-28,2025-12-28 11:02:00,2025-12-28 18:51:00,completed
147,25,2,7,2025-07-20,2025-07-20,2025-07-20 11:05:00,2025-07-20 17:50:00,completed
148,25,2,7,2025-11-30,2025-11-30,2025-11-30 11:55:00,2025-11-30 18:13:00,completed
149,25,2,7,2025-10-17,2025-10-17,2025-10-17 07:57:00,2025-10-17 15:57:00,completed
150,25,2,7,2025-03-30,2025-03-30,2025-03-30 09:57:00,2025-03-30 16:10:00,completed
151,26,2,1,2025-10-12,2025-10-12,,,missed
152,26,2,1,2025-02-16,2025-02-16,2025-02-16 15:02:00,2025-02-16 20:52:00,completed
153,26,2,1,2025-01-11,2025-01-11,2025-01-11 14:58:00,2025-01-11 23:10:00,completed
154,26,2,1,2025-08-02,2025-08-02,2025-08-02 11:56:00,2025-08-02 19:51:00,completed
155,26,2,1,2025-07-11,2025-07-11,2025-07-11 11:57:00,2025-07-11 19:15:00,completed
156,26,2,1,2025-12-19,2025-12-19,,,missed
157,27,2,3,2025-07-18,2025-07-18,2025-07-18 09:08:00,2025-07-18 15:57:00,completed
158,27,2,3,2025-01-24,2025-01-24,2025-01-24 14:55:00,2025-01-24 23:04:00,completed
159,27,2,3,2025-05-18,2025-05-18,2025-05-18 11:58:00,2025-05-18 19:00:00,completed
160,27,2,3,2025-10-03,2025-10-03,2025-10-03 14:09:00,2025-10-03 22:06:00,completed
161,27,2,3,2025-10-12,2025-10-12,2025-10-12 10:58:00,2025-10-12 18:50:00,completed
162,27,2,3,2025-07-11,2025-07-11,2025-07-11 13:01:00,2025-07-11 21:08:00,completed
163,28,2,5,2025-08-09,2025-08-09,2025-08-09 10:04:00,2025-08-09 16:08:00,completed
164,28,2,5,2025-11-30,2025-11-30,,,missed
165,28,2,5,2025-11-02,2025-11-02,2025-11-02 14:59:00,2025-11-02 21:54:00,completed
166,28,2,5,2025-09-06,2025-09-06,2025-09-06 12:04:00,2025-09-06 19:01:00,completed
167,28,2,5,2025-09-26,2025-09-26,2025-09-26 06:59:00,2025-09-26 14:51:00,completed
168,28,2,5,2025-10-10,2025-10-10,2025-10-10 07:56:00,2025-10-10 16:03:00,completed
169,29,2,6,2025-06-07,2025-06-07,2025-06-07 12:05:00,2025-06-07 20:09:00,completed
170,29,2,6,2025-03-28,2025-03-28,2025-03-28 08:58:00,2025-03-28 16:04:00,completed
171,29,2,6,2025-12-28,2025-12-28,2025-12-28 14:55:00,2025-12-28 21:10:00,completed
172,29,2,6,2025-10-11,2025-10-11,2025-10-11 10:01:00,2025-10-11 17:57:00,completed
173,29,2,6,2025-12-21,2025-12-21,2025-12-21 12:05:00,2025-12-21 20:15:00,completed
174,29,2,6,2025-02-02,2025-02-02,2025-02-02 14:00:00,2025-02-02 20:50:00,completed
175,30,2,3,2025-06-13,2025-06-13,2025-06-13 12:55:00,2025-06-13 19:56:00,completed
176,30,2,3,2025-01-03,2025-01-03,2025-01-03 08:03:00,2025-01-03 15:13:00,completed
177,30,2,3,2025-02-01,2025-02-01,2025-02-01 10:02:00,2025-02-01 16:55:00,completed
178,30,2,3,2025-06-07,2025-06-07,2025-06-07 10:03:00,2025-06-07 15:53:00,completed
179,30,2,3,2025-01-10,2025-01-10,2025-01-10 06:58:00,2025-01-10 15:00:00,completed
180,30,2,3,2025-09-07,2025-09-07,2025-09-07 10:06:00,2025-09-07 17:15:00,completed
181,31,3,3,2025-09-01,2025-09-01,2025-09-01 10:08:00,2025-09-01 19:10:00,completed
182,31,3,3,2025-11-10,2025-11-10,2025-11-10 08:01:00,2025-11-10 16:07:00,completed
183,31,3,3,2025-07-22,2025-07-22,2025-07-22 08:56:00,2025-07-22 17:10:00,completed
184,31,3,3,2025-10-07,2025-10-07,2025-10-07 09:10:00,2025-10-07 16:56:00,completed
185,31,3,3,2025-10-28,2025-10-28,2025-10-28 06:57:00,2025-10-28 15:55:00,completed
186,31,3,3,2025-09-16,2025-09-16,2025-09-16 10:09:00,2025-09-16 18:55:00,completed
187,32,3,6,2025-09-04,2025-09-04,2025-09-04 07:01:00,2025-09-04 15:04:00,completed
188,32,3,6,2025-11-27,2025-11-27,2025-11-27 08:08:00,2025-11-27 17:02:00,completed
189,32,3,6,2025-09-10,2025-09-10,2025-09-10 07:57:00,2025-09-10 16:54:00,completed
190,32,3,6,2025-10-17,2025-10-17,2025-10-17 07:06:00,2025-10-17 15:57:00,completed
191,32,3,6,2025-12-25,2025-12-25,2025-12-25 07:05:00,2025-12-25 16:03:00,completed
192,32,3,6,2025-10-10,2025-10-10,2025-10-10 10:06:00,2025-10-10 19:15:00,completed
193,33,3,6,2025-09-25,2025-09-25,2025-09-25 09:02:00,2025-09-25 16:53:00,completed
194,33,3,6,2025-08-19,2025-08-19,2025-08-19 07:01:00,2025-08-19 15:00:00,completed
195,33,3,6,2025-08-06,2025-08-06,2025-08-06 08:03:00,2025-08-06 16:56:00,completed
196,33,3,6,2025-09-01,2025-09-01,2025-09-01 08:04:00,2025-09-01 16:59:00,completed
197,33,3,6,2025-06-12,2025-06-12,,,missed
198,33,3,6,2025-07-14,2025-07-14,2025-07-14 06:59:00,2025-07-14 16:02:00,completed
199,34,3,7,2025-09-26,2025-09-26,2025-09-26 09:08:00,2025-09-26 16:56:00,completed
200,34,3,7,2025-12-31,2025-12-31,2025-12-31 09:55:00,2025-12-31 19:01:00,completed
201,34,3,7,2025-09-18,2025-09-18,2025-09-18 07:55:00,2025-09-18 16:05:00,completed
202,34,3,7,2025-11-20,2025-11-20,2025-11-20 09:08:00,2025-11-20 18:11:00,completed
203,34,3,7,2025-12-24,2025-12-24,2025-12-24 09:55:00,2025-12-24 19:08:00,completed
204,34,3,7,2025-11-24,2025-11-24,2025-11-24 07:05:00,2025-11-24 15:08:00,completed
205,35,3,3,2025-10-30,2025-10-30,2025-10-30 08:09:00,2025-10-30 17:10:00,completed
206,35,3,3,2025-12-02,2025-12-02,2025-12-02 09:00:00,2025-12-02 16:51:00,completed
207,35,3,3,2025-10-23,2025-10-23,2025-10-23 09:57:00,2025-10-23 18:02:00,completed
208,35,3,3,2025-12-15,2025-12-15,2025-12-15 08:57:00,2025-12-15 17:04:00,completed
209,35,3,3,2025-10-17,2025-10-17,2025-10-17 07:00:00,2025-10-17 16:00:00,completed
210,35,3,3,2025-09-04,2025-09-04,2025-09-04 09:58:00,2025-09-04 18:54:00,completed
211,36,3,4,2025-11-04,2025-11-04,2025-11-04 09:09:00,2025-11-04 16:58:00,completed
212,36,3,4,2025-10-07,2025-10-07,,,missed
213,36,3,4,2025-10-22,2025-10-22,2025-10-22 10:02:00,2025-10-22 18:06:00,completed
214,36,3,4,2025-07-24,2025-07-24,2025-07-24 08:56:00,2025-07-24 18:13:00,completed
215,36,3,4,2025-10-02,2025-10-02,2025-10-02 07:09:00,2025-10-02 16:01:00,completed
216,36,3,4,2025-08-19,2025-08-19,2025-08-19 09:00:00,2025-08-19 18:03:00,completed
217,37,3,1,2025-08-12,2025-08-12,2025-08-12 08:04:00,2025-08-12 17:11:00,completed
218,37,3,1,2025-07-18,2025-07-18,,,missed
219,37,3,1,2025-11-03,2025-11-03,,,missed
220,37,3,1,2025-11-20,2025-11-20,2025-11-20 07:05:00,2025-11-20 15:03:00,completed
221,37,3,1,2025-10-13,2025-10-13,2025-10-13 09:56:00,2025-10-13 18:04:00,completed
222,37,3,1,2025-12-09,2025-12-09,2025-12-09 07:09:00,2025-12-09 15:02:00,completed
223,38,3,5,2025-08-20,2025-08-20,2025-08-20 10:02:00,2025-08-20 18:12:00,completed
224,38,3,5,2025-09-15,2025-09-15,2025-09-15 10:03:00,2025-09-15 17:55:00,completed
225,38,3,5,2025-06-17,2025-06-17,2025-06-17 08:00:00,2025-06-17 15:59:00,completed
226,38,3,5,2025-12-24,2025-12-24,2025-12-24 06:55:00,2025-12-24 16:11:00,completed
227,38,3,5,2025-04-10,2025-04-10,2025-04-10 09:00:00,2025-04-10 16:56:00,completed
228,38,3,5,2025-03-27,2025-03-27,2025-03-27 06:56:00,2025-03-27 15:10:00,completed
229,39,3,2,2025-07-04,2025-07-04,2025-07-04 08:55:00,2025-07-04 17:03:00,completed
230,39,3,2,2025-11-03,2025-11-03,2025-11-03 07:01:00,2025-11-03 15:11:00,completed
231,39,3,2,2025-10-20,2025-10-20,,,missed
232,39,3,2,2025-07-24,2025-07-24,2025-07-24 06:56:00,2025-07-24 15:03:00,completed
233,39,3,2,2025-08-26,2025-08-26,2025-08-26 07:01:00,2025-08-26 16:09:00,completed
234,39,3,2,2025-05-27,2025-05-27,,,missed
235,40,3,5,2025-04-04,2025-04-04,2025-04-04 11:57:00,2025-04-04 18:11:00,completed
236,40,3,5,2025-05-23,2025-05-23,2025-05-23 15:06:00,2025-05-23 21:51:00,completed
237,40,3,5,2025-05-17,2025-05-17,2025-05-17 09:10:00,2025-05-17 14:53:00,completed
238,40,3,5,2025-03-30,2025-03-30,2025-03-30 14:00:00,2025-03-30 21:58:00,completed
239,40,3,5,2025-07-19,2025-07-19,2025-07-19 09:07:00,2025-07-19 17:11:00,completed
240,40,3,5,2025-07-04,2025-07-04,2025-07-04 15:00:00,2025-07-04 23:10:00,completed
241,41,3,3,2025-08-16,2025-08-16,,,missed
242,41,3,3,2025-10-26,2025-10-26,2025-10-26 09:58:00,2025-10-26 15:59:00,completed
243,41,3,3,2025-04-27,2025-04-27,2025-04-27 10:02:00,2025-04-27 18:09:00,completed
244,41,3,3,2025-08-24,2025-08-24,2025-08-24 09:10:00,2025-08-24 14:59:00,completed
245,41,3,3,2025-04-04,2025-04-04,2025-04-04 07:56:00,2025-04-04 13:57:00,completed
246,41,3,3,2025-10-12,2025-10-12,,,missed
247,42,3,5,2025-11-23,2025-11-23,2025-11-23 15:02:00,2025-11-23 22:56:00,completed
248,42,3,5,2025-10-25,2025-10-25,,,missed
249,42,3,5,2025-09-14,2025-09-14,2025-09-14 14:02:00,2025-09-14 20:09:00,completed
250,42,3,5,2025-10-11,2025-10-11,2025-10-11 15:00:00,2025-10-11 22:04:00,completed
251,42,3,5,2025-12-26,2025-12-26,2025-12-26 14:10:00,2025-12-26 19:52:00,completed
252,42,3,5,2025-08-22,2025-08-22,2025-08-22 07:59:00,2025-08-22 13:56:00,completed
253,43,3,4,2025-07-11,2025-07-11,2025-07-11 09:02:00,2025-07-11 15:03:00,completed
254,43,3,4,2025-06-29,2025-06-29,2025-06-29 10:04:00,2025-06-29 18:08:00,completed
255,43,3,4,2025-07-18,2025-07-18,2025-07-18 12:10:00,2025-07-18 19:52:00,completed
256,43,3,4,2025-10-18,2025-10-18,2025-10-18 11:10:00,2025-10-18 18:04:00,completed
257,43,3,4,2025-10-12,2025-10-12,2025-10-12 12:08:00,2025-10-12 20:14:00,completed
258,43,3,4,2025-07-26,2025-07-26,2025-07-26 10:07:00,2025-07-26 17:03:00,completed
259,44,3,6,2025-06-21,2025-06-21,2025-06-21 11:57:00,2025-06-21 20:00:00,completed
260,44,3,6,2025-09-27,2025-09-27,2025-09-27 09:59:00,2025-09-27 17:56:00,completed
261,44,3,6,2025-07-19,2025-07-19,2025-07-19 09:06:00,2025-07-19 15:05:00,completed
262,44,3,6,2025-09-13,2025-09-13,,,missed
263,44,3,6,2025-10-25,2025-10-25,2025-10-25 14:04:00,2025-10-25 21:10:00,completed
264,44,3,6,2025-12-30,2025-12-30,2025-12-30 12:56:00,2025-12-30 18:53:00,completed
265,45,3,6,2025-10-05,2025-10-05,2025-10-05 14:07:00,2025-10-05 21:03:00,completed
266,45,3,6,2025-12-27,2025-12-27,2025-12-27 13:56:00,2025-12-27 20:01:00,completed
267,45,3,6,2025-06-29,2025-06-29,2025-06-29 13:59:00,2025-06-29 21:58:00,completed
268,45,3,6,2025-07-13,2025-07-13,,,missed
269,45,3,6,2025-10-25,2025-10-25,2025-10-25 10:00:00,2025-10-25 16:50:00,completed
270,45,3,6,2025-08-10,2025-08-10,2025-08-10 09:07:00,2025-08-10 15:02:00,completed
271,46,4,3,2025-12-25,2025-12-25,2025-12-25 09:57:00,2025-12-25 18:53:00,completed
272,46,4,3,2025-09-03,2025-09-03,2025-09-03 09:01:00,2025-09-03 17:13:00,completed
273,46,4,3,2025-12-10,2025-12-10,2025-12-10 10:00:00,2025-12-10 19:05:00,completed
274,46,4,3,2025-10-03,2025-10-03,2025-10-03 07:08:00,2025-10-03 15:06:00,completed
275,46,4,3,2025-11-21,2025-11-21,2025-11-21 10:00:00,2025-11-21 18:55:00,completed
276,46,4,3,2025-12-31,2025-12-31,2025-12-31 09:01:00,2025-12-31 17:05:00,completed
277,47,4,2,2025-07-22,2025-07-22,2025-07-22 09:58:00,2025-07-22 19:10:00,completed
278,47,4,2,2025-10-07,2025-10-07,2025-10-07 08:07:00,2025-10-07 15:53:00,completed
279,47,4,2,2025-07-07,2025-07-07,2025-07-07 09:02:00,2025-07-07 17:05:00,completed
280,47,4,2,2025-09-23,2025-09-23,2025-09-23 10:03:00,2025-09-23 18:14:00,completed
281,47,4,2,2025-10-21,2025-10-21,2025-10-21 06:55:00,2025-10-21 15:02:00,completed
282,47,4,2,2025-07-30,2025-07-30,2025-07-30 09:05:00,2025-07-30 18:09:00,completed
283,48,4,6,2025-11-25,2025-11-25,2025-11-25 08:55:00,2025-11-25 18:04:00,completed
284,48,4,6,2025-11-19,2025-11-19,2025-11-19 09:58:00,2025-11-19 18:06:00,completed
285,48,4,6,2025-12-25,2025-12-25,2025-12-25 09:10:00,2025-12-25 17:06:00,completed
286,48,4,6,2025-12-18,2025-12-18,2025-12-18 10:05:00,2025-12-18 17:50:00,completed
287,48,4,6,2025-12-12,2025-12-12,,,missed
288,48,4,6,2025-12-29,2025-12-29,2025-12-29 09:10:00,2025-12-29 18:02:00,completed
