payment_id,sale_id,payment_method,payment_amount,payment_timestamp,confirmation_code
42,42,credit_card,68.61,2025-03-29 17:26:00,gBiq7480UxWz
43,43,credit_card,16.4,2025-04-28 19:37:00,KJmx5060Jsey
44,44,credit_card,37.0,2025-11-29 20:44:00,NRNh8784igzx
45,45,credit_card,16.23,2025-10-21 20:02:00,mMGz5852Gccc
46,46,credit_card,18.92,2025-04-09 14:14:00,DjMG2578iuNu
47,47,credit_card,26.26,2025-10-05 20:07:00,LvGG2694IFTK
48,48,credit_card,20.09,2025-10-18 17:23:00,vRhA4705LtYU
49,49,credit_card,45.62,2025-12-24 17:08:00,PYXL0974KoUd
50,50,credit_card,20.91,2025-01-18 09:21:00,OUNX9728yjRp
51,51,debit_card,16.22,2025-12-05 12:49:00,bCuA0913jASn
52,52,cash,54.99,2025-06-02 17:31:00,
53,53,credit_card,17.76,2025-10-14 18:28:00,VUdT6897iHnJ
54,54,cash,56.07,2025-08-19 19:14:00,
55,55,credit_card,10.84,2025-01-04 15:37:00,ulDI5786vIwR
56,56,credit_card,36.41,2025-10-27 19:31:00,prJt4973otXs
57,57,cash,111.47,2025-01-18 14:39:00,
58,58,debit_card,8.08,2025-09-08 17:45:00,wJYU3757rshK
59,59,debit_card,48.57,2025-07-17 19:20:00,XZjs8665csTf
60,60,credit_card,31.39,2025-08-17 19:25:00,nmIr5747JSri
61,61,debit_card,26.17,2025-11-14 17:14:00,pdQH1993oOod
62,62,credit_card,15.88,2025-07-27 11:03:00,gRXi1657aJkA
63,63,credit_card,35.89,2025-11-12 17:19:00,usPd7734XfPK
64,64,credit_card,66.55,2025-05-25 19:31:00,Alcz3802YFlV
65,65,cash,15.94,2025-05-24 15:34:00,
66,66,debit_card,32.05,2025-04-26 17:02:00,KMgv4004sDPI
67,67,debit_card,35.75,2025-08-20 18:57:00,DrmZ8728hvkU
68,68,debit_card,52.91,2025-10-04 18:57:00,VvYs7420KRWm
69,69,credit_card,18.53,2025-10-12 15:26:00,Gufz2966Qgli
70,70,credit_card,18.82,2025-12-30 12:52:00,qypC7530Wrvt
71,71,debit_card,14.19,2025-06-23 20:22:00,PxSp9904dQhD
72,72,credit_card,40.63,2025-04-20 13:02:00,TXtS4268hOsx
73,73,credit_card,32.28,2025-08-02 13:31:00,EjDV9332MxAS
74,74,credit_card,28.62,2025-01-15 14:38:00,WpRW8783MYfH
75,75,credit_card,48.62,2025-08-23 17:52:00,KhdJ7851GmKI
76,76,cash,34.94,2025-08-20 16:16:00,
77,77,cash,15.93,2025-01-16 18:23:00,
78,78,debit_card,41.84,2025-09-27 09:45:00,ChRn2258TLFf
79,79,credit_card,86.72,2025-12-08 16:32:00,iGAD8707KdJD
80,80,debit_card,27.12,2025-07-18 12:04:00,aVnL4064ecBw
81,81,credit_card,40.73,2025-12-05 12:00:00,EcsA1801lXiX
82,82,credit_card,41.95,2025-08-17 21:02:00,yyfR6567QIiP
83,83,credit_card,27.52,2025-08-10 10:53:00,zHiU5128oaWb
84,84,cash,42.32,2025-07-13 12:45:00,
85,85,credit_card,33.12,2025-07-23 20:32:00,Iyop4786Dwjr
86,86,credit_card,18.69,2025-10-30 18:39:00,NXbp3106negM
87,87,credit_card,54.98,2025-07-22 15:22:00,pVcz0790CoIn
88,88,credit_card,29.44,2025-10-15 14:28:00,oUKu0284KMXR
89,89,cash,21.79,2025-12-06 14:41:00,
90,90,cash,32.17,2025-10-22 13:01:00,
91,91,debit_card,34.75,2025-10-21 15:21:00,QHoA5342trdJ
92,92,cash,15.04,2025-02-02 15:32:00,
93,93,credit_card,13.91,2025-11-08 19:12:00,FdwP9268QyYH
94,94,debit_card,20.47,2025-04-10 16:08:00,tylW5662IEpo
95,95,debit_card,38.43,2025-12-06 08:58:00,JAAJ4270Hiyp
96,96,credit_card,75.2,2025-06-15 11:22:00,CxfI4351Umdr
97,97,credit_card,43.54,2025-12-17 17:49:00,emZW6990LUQJ
98,98,credit_card,28.85,2025-12-24 19:51:00,tanm3735VhVW
99,99,debit_card,17.84,2025-03-05 12:06:00,zpJu7393XsyD
100,100,debit_card,42.78,2025-01-04 17:13:00,xGFD8544gZUE
101,101,credit_card,53.15,2025-08-15 20:36:00,AcKo5355Vjbq
102,102,credit_card,14.23,2025-07-23 16:22:00,sjmv8996oyKp
103,103,cash,19.65,2025-10-14 20:27:00,
104,104,debit_card,38.0,2025-08-10 17:20:00,WFUP7854VFDk
105,105,credit_card,19.88,2025-04-06 11:39:00,FlIP5228dHce
106,106,cash,26.05,2025-12-15 17:03:00,
107,107,debit_card,35.28,2025-04-20 19:23:00,OoeT0062janG
108,108,cash,31.49,2025-12-14 17:58:00,
109,109,debit_card,22.3,2025-09-21 19:55:00,OQNE7509QFba
110,110,debit_card,38.86,2025-04-16 17:47:00,bHUr8860IsbG
111,111,debit_card,24.88,2025-11-17 13:44:00,Hjpm6211NHqw
112,112,debit_card,15.47,2025-10-20 13:06:00,zDKp4615SotR
113,113,cash,19.15,2025-11-30 13:43:00,
114,114,debit_card,19.45,2025-06-15 17:43:00,yyJE1016dOaS
115,115,credit_card,32.09,2025-06-26 16:40:00,PYvK2176gHco
116,116,debit_card,35.28,2025-12-24 19:27:00,ceRr3974IKQc
117,117,debit_card,47.4,2025-07-28 12:40:00,LjWT2503zetk
118,118,credit_card,44.6,2025-10-02 16:57:00,RIvy9396WViY
119,119,cash,41.22,2025-07-01 18:07:00,
120,120,credit_card,18.61,2025-12-21 19:30:00,gBoe1850vMXN
121,121,credit_card,13.38,2025-09-06 11:46:00,OrYC9650FowJ
122,122,debit_card,73.8,2025-03-02 19:38:00,QyfX6629NsZp
123,123,credit_card,23.06,2025-04-10 13:04:00,yTYO1142jVyu
124,124,cash,28.74,2025-05-11 17:16:00,
125,125,credit_card,41.72,2025-08-22 18:26:00,tCxW5110rgif
126,126,credit_card,37.86,2025-11-23 16:39:00,JGAg2678bfwJ
127,127,credit_card,32.89,2025-05-15 16:54:00,yasA1995yXfU
128,128,cash,16.36,2025-10-22 13:35:00,
129,129,debit_card,27.34,2025-07-20 20:55:00,kRyk8398irtr
130,130,debit_card,25.67,2025-06-28 11:00:00,BrAt7212EYex
131,131,debit_card,45.37,2025-01-08 20:10:00,NmDg4379itaz
132,132,credit_card,119.0,2025-01-10 17:42:00,CvBP5965Mitu
133,133,debit_card,22.56,2025-11-05 19:04:00,lzus9375VSOF
134,134,credit_card,78.43,2025-09-25 19:00:00,rYzx9356hKmL
135,135,debit_card,43.02,2025-10-03 18:27:00,UDTn8280CZsS
136,136,debit_card,22.89,2025-01-25 13:32:00,Otpq1672QjTB
137,137,debit_card,76.33,2025-06-19 12:32:00,ELzI6179GSAI
138,138,cash,36.21,2025-01-07 16:28:00,
139,139,credit_card,36.76,2025-12-25 14:41:00,OfgX0589pQQw
140,140,cash,44.56,2025-02-24 17:40:00,
141,141,debit_card,45.87,2025-02-23 17:05:00,PRPz2909WvYB
142,142,credit_card,23.01,2025-06-18 13:41:00,oGVH1014JLSK
143,143,debit_card,23.3,2025-01-17 18:34:00,DXRL3756SGjw
144,144,debit_card,31.52,2025-12-21 12:59:00,AfhU0714jwtv
145,145,debit_card,19.0,2025-09-20 14:36:00,wEgC7387USCu
146,146,debit_card,35.0,2025-05-25 15:58:00,bvPg1401RZkV
147,147,credit_card,23.92,2025-03-17 18:27:00,kvJB3828DoZz
148,148,debit_card,54.66,2025-02-15 20:21:00,bVNm2266CLBy
149,149,credit_card,17.17,2025-07-20 17:34:00,WTZY0334eKgZ
150,150,credit_card,34.49,2025-08-17 12:33:00,mDhq8255QFHO
151,151,cash,38.75,2025-08-17 13:47:00,
152,152,credit_card,56.8,2025-09-17 16:10:00,zLhw5969wDNl
153,153,credit_card,41.42,2025-08-27 19:21:00,Riuh4991pthl
154,154,cash,28.68,2025-12-12 17:37:00,
155,155,cash,31.72,2025-09-09 10:17:00,
156,156,cash,37.92,2025-03-02 16:40:00,
157,157,debit_card,31.03,2025-10-30 19:50:00,AMiK5286yBlF
158,158,credit_card,16.0,2025-03-23 20:20:00,Fsil8282uCNd
159,159,debit_card,15.61,2025-12-23 11:43:00,myJG5072PFAR
160,160,credit_card,41.67,2025-05-04 18:25:00,kfKb7677YWos
161,161,credit_card,16.8,2025-07-15 16:13:00,skXD0438KVXX
162,162,debit_card,35.71,2025-12-06 18:29:00,KhrX7881IxIW
163,163,credit_card,24.13,2025-10-25 18:04:00,BgVP0783Wptc
164,164,credit_card,51.4,2025-12-10 18:58:00,ChXZ7451pnZV
165,165,credit_card,41.77,2025-12-23 14:30:00,kNiY9596nnZd
166,166,cash,33.28,2025-03-26 17:35:00,
167,167,debit_card,27.6,2025-10-25 09:17:00,MIku9584TssK
168,168,cash,42.48,2025-12-26 19:40:00,
169,169,credit_card,9.94,2025-08-23 15:51:00,WYAd4812rPiS
170,170,debit_card,27.47,2025-05-19 17:58:00,pWRz2325FjKO
171,171,credit_card,20.81,2025-07-17 19:22:00,eOYX4667fzGV
172,172,credit_card,44.14,2025-07-24 20:55:00,uLaX4577UfUD
173,173,credit_card,10.89,2025-12-10 19:35:00,nBnF5186rusv
174,174,credit_card,86.79,2025-09-06 15:10:00,FYvR8929Wdcg
175,175,debit_card,70.26,2025-05-03 15:11:00,CDaB7012mSiP
176,176,credit_card,22.84,2025-11-27 20:31:00,Pxqf4241xQPk
177,177,credit_card,60.89,2025-10-18 17:48:00,BPfT0643ganE
178,178,debit_card,46.28,2025-04-30 17:43:00,HRCa1293aSvh
179,179,credit_card,13.65,2025-02-14 18:49:00,oyfU6271Zggu
180,180,debit_card,32.85,2025-05-16 09:19:00,XWiP5426RjeH
181,181,debit_card,12.5,2025-04-29 12:17:00,CwUn9092OVjA
182,182,credit_card,50.09,2025-06-21 16:28:00,giWh9731LUyw
183,183,credit_card,81.63,2025-11-09 11:27:00,rPfp6523JMMU
184,184,credit_card,19.83,2025-08-02 20:15:00,nHMG9404mVzs
185,185,credit_card,23.55,2025-12-23 16:05:00,hpFO0376MeHa
186,186,credit_card,11.29,2025-04-01 12:30:00,KAxI5526RlWE
187,187,credit_card,18.97,2025-08-09 14:44:00,aqnc1091dYzG
188,188,cash,30.05,2025-05-16 19:13:00,
189,189,cash,53.32,2025-08-29 15:38:00,
190,190,cash,17.35,2025-08-07 15:49:00,
191,191,credit_card,33.72,2025-05-17 17:51:00,SzfO4866IINj
192,192,debit_card,84.87,2025-12-21 10:39:00,GnZj4141IuzL
193,193,cash,30.63,2025-07-12 19:15:00,
194,194,debit_card,62.25,2025-10-18 11:19:00,dpfB1463hDNM
195,195,debit_card,44.64,2025-07-27 14:12:00,aTiS0421akFw
196,196,debit_card,13.65,2025-08-28 10:12:00,xiVX8842rUhX
197,197,credit_card,36.18,2025-11-27 14:43:00,HeqT0564KOeF
198,198,credit_card,16.14,2025-04-02 15:24:00,FKkx7850kqXg
199,199,credit_card,19.49,2025-10-12 11:53:00,acap9138cExy
200,200,cash,38.75,2025-12-04 17:04:00,
201,201,cash,12.18,2025-08-16 18:48:00,
202,202,cash,62.42,2025-02-13 12:06:00,
203,203,cash,29.85,2025-09-02 15:17:00,
204,204,credit_card,17.2,2025-09-20 11:23:00,ZTVP2208Aoup
205,205,cash,15.36,2025-05-07 19:11:00,
206,206,credit_card,43.34,2025-08-03 14:29:00,KxhG6541Rdlo
207,207,credit_card,61.61,2025-07-02 13:24:00,DsXt8061ufJD
208,208,credit_card,26.73,2025-10-22 19:52:00,KYtV0534NpDx
209,209,debit_card,19.18,2025-06-08 18:11:00,WYpj9738aAbo
210,210,cash,17.82,2025-12-17 18:29:00,
211,211,cash,31.76,2025-04-17 11:18:00,
212,212,credit_card,41.05,2025-09-14 18:26:00,aWQy8505VUtg
213,213,credit_card,37.33,2025-05-03 17:47:00,FdjT3836rfco
214,214,credit_card,63.87,2025-03-19 16:58:00,VfLg8657GiOz
215,215,credit_card,32.91,2025-12-24 18:36:00,BQip1990squZ
216,216,debit_card,52.59,2025-02-13 14:26:00,roem6557iXXL
217,217,credit_card,44.42,2025-10-03 14:14:00,CDuA1212hIwX
218,218,debit_card,31.97,2025-08-19 17:08:00,qhfk3747ZRtT
219,219,debit_card,14.88,2025-10-19 20:24:00,jfTp9035wzGd
220,220,debit_card,37.89,2025-06-08 20:32:00,zCJV4420JpgD
221,221,debit_card,25.84,2025-09-22 19:04:00,dXoi1210mzxR
222,222,credit_card,12.66,2025-10-07 13:08:00,ebem1994PCZi
223,223,debit_card,60.81,2025-01-07 13:37:00,DdkK1510BUzF
224,224,credit_card,44.78,2025-08-17 16:23:00,wnlr0662rCjc
225,225,credit_card,22.54,2025-06-16 15:34:00,PsFA9993JEdf
226,226,cash,17.67,2025-10-11 12:40:00,
227,227,debit_card,24.93,2025-12-28 10:23:00,mPZH4626pOZI
228,228,debit_card,19.91,2025-10-09 15:39:00,IYFw0657KGuy
229,229,credit_card,21.08,2025-06-20 20:17:00,MobZ4205XrdZ
230,230,credit_card,32.43,2025-07-27 14:06:00,okgp7859QprI
231,231,credit_card,15.06,2025-04-01 10:36:00,wllp0396LuZV
232,232,debit_card,38.14,2025-10-12 15:42:00,KKjK5905mZFI
233,233,debit_card,29.78,2025-12-26 18:56:00,fdoM4270obHE
234,234,credit_card,16.22,2025-10-14 14:02:00,ZivT0593lZud
235,235,debit_card,15.05,2025-09-15 08:43:00,XhHx0292exTQ
236,236,debit_card,15.9,2025-12-05 14:41:00,tuik6915UBYO
237,237,credit_card,57.07,2025-03-27 17:02:00,SNYw7528oQLl
238,238,cash,35.46,2025-04-05 17:48:00,
239,239,cash,66.81,2025-11-12 14:24:00,
240,240,debit_card,50.72,2025-06-14 15:07:00,lUaS6442KzXK
241,241,debit_card,43.04,2025-08-10 15:29:00,ZNoO0295KgFj
242,242,credit_card,7.73,2025-02-24 17:30:00,ukOf5135TQOU
243,243,credit_card,40.39,2025-04-28 18:55:00,npSe5704wqYg
244,244,credit_card,30.64,2025-10-24 20:07:00,UAkA0067FywI
245,245,credit_card,12.96,2025-09-23 20:33:00,PWRo6179kCeZ
246,246,credit_card,16.93,2025-07-12 19:24:00,qgev0405kykU
247,247,debit_card,42.28,2025-12-12 17:57:00,MNET1815bBPk
248,248,credit_card,28.43,2025-11-05 18:09:00,gvnm9620ASJU
249,249,credit_card,16.52,2025-11-30 12:59:00,pgdz8444KJFj
250,250,credit_card,47.76,2025-11-02 18:46:00,fsQO0506MEmg
251,251,debit_card,29.05,2025-04-14 09:58:00,fEht0324YzEF
252,252,credit_card,42.03,2025-05-25 13:38:00,lxyx4186lCcq
253,253,credit_card,34.68,2025-08-17 15:09:00,rKdj7743WSQg
254,254,credit_card,15.08,2025-11-30 13:11:00,WLoJ1586dyHA
255,255,credit_card,31.89,2025-06-20 18:25:00,Etfz8793TcGK
256,256,debit_card,49.32,2025-12-03 20:36:00,hWCl8992knZm
257,257,credit_card,34.12,2025-11-22 16:57:00,RBmO2061jMqu
258,258,credit_card,43.51,2025-09-13 10:40:00,zJur1168HDaY
259,259,debit_card,21.38,2025-11-12 17:56:00,hAjj9986KLLW
260,260,cash,15.63,2025-11-21 18:23:00,
261,261,debit_card,54.91,2025-07-27 10:57:00,YsIw1191AqyP
262,262,credit_card,21.67,2025-12-04 20:19:00,clrz7997jNMR
263,263,credit_card,29.81,2025-08-05 20:47:00,SpdV6065Erxb
264,264,debit_card,34.56,2025-05-28 20:59:00,FSRg5444oitV
265,265,credit_card,15.11,2025-10-10 09:29:00,MPfm7546CnAV
266,266,cash,11.91,2025-11-26 09:14:00,
267,267,cash,26.01,2025-06-22 16:22:00,
268,268,cash,20.51,2025-09-16 19:38:00,
269,269,credit_card,20.51,2025-10-26 15:31:00,GYke7850tTGz
270,270,credit_card,39.08,2025-07-09 16:15:00,lmmd2890pcDd
271,271,cash,54.25,2025-09-12 16:01:00,
272,272,credit_card,33.71,2025-12-24 15:08:00,DGzO5345hRbp
273,273,credit_card,43.18,2025-09-24 17:16:00,lELJ5797wwkq
274,274,credit_card,20.54,2025-04-26 18:37:00,dkKX1406noPo
275,275,credit_card,34.22,2025-07-07 12:45:00,bXXR3468aEiP
276,276,credit_card,19.46,2025-12-20 20:16:00,qMZt2903TTPr
277,277,credit_card,46.35,2025-09-29 19:56:00,qnDt6657RHNz
278,278,debit_card,30.37,2025-08-10 15:27:00,QxJP9108MMst
279,279,credit_card,35.91,2025-11-01 20:52:00,rOur1715qPTP
280,280,credit_card,27.21,2025-06-06 18:51:00,WpdZ4328ZZMz
281,281,credit_card,29.27,2025-08-03 18:29:00,sqAz5207yVcL
282,282,debit_card,41.57,2025-07-21 12:31:00,RIOY9353EQwG
283,283,credit_card,20.1,2025-12-24 18:15:00,sgEi4282VqUZ
284,284,debit_card,65.3,2025-08-16 14:25:00,owoV8251tAYv
285,285,cash,17.43,2025-04-27 15:21:00,
286,286,credit_card,27.09,2025-11-19 19:21:00,DhEd5494OLLN
287,287,credit_card,42.86,2025-09-11 15:38:00,hRyH1738tAdj
288,288,credit_card,17.98,2025-04-30 08:57:00,KDju2356TlXf
289,289,credit_card,19.76,2025-11-15 13:49:00,OdaC7525rnWX
290,290,credit_card,13.41,2025-08-05 15:16:00,YWXf2927iNBO
291,291,credit_card,10.99,2025-12-18 11:56:00,yacI6667mUxa
292,292,credit_card,32.25,2025-12-07 16:58:00,RaOU5830poSw
293,293,cash,38.36,2025-11-29 16:07:00,
294,294,cash,45.17,2025-11-27 16:39:00,
295,295,cash,42.35,2025-10-26 20:53:00,
296,296,credit_card,20.12,2025-06-19 19:05:00,GLtk4216ects
297,297,credit_card,28.12,2025-08-04 15:58:00,vBRi7898vFwW
298,298,credit_card,18.06,2025-08-03 08:02:00,ooUi3260nUbL
299,299,credit_card,19.79,2025-06-10 13:30:00,TPYc8215yOqX
300,300,debit_card,17.98,2025-06-03 19:11:00,dQgP8909bdSh
301,301,credit_card,35.55,2025-02-26 13:35:00,JqES6761jnSR
302,302,credit_card,36.23,2025-02-10 19:13:00,QHrN0461MSiA
303,303,cash,29.86,2025-06-08 13:49:00,
304,304,debit_card,36.45,2025-03-06 19:29:00,shYg1891FmMm
305,305,credit_card,34.05,2025-12-09 12:52:00,TAsk4835cJFn
306,306,credit_card,21.23,2025-11-03 10:07:00,aQfh7530KQFj
307,307,credit_card,61.94,2025-03-22 20:12:00,qPoD1811sqDd
308,308,credit_card,30.25,2025-02-06 16:01:00,xZRu1204BVhg
309,309,credit_card,24.87,2025-06-15 20:28:00,vwCN0022rUfx
310,310,cash,23.92,2025-11-03 12:56:00,
311,311,credit_card,22.26,2025-12-19 13:12:00,zDry5216SEZA
312,312,debit_card,26.88,2025-03-02 11:53:00,kgAL2120EZKR
313,313,credit_card,12.98,2025-10-04 13:12:00,XwNb7296RUiE
314,314,debit_card,37.22,2025-12-27 18:26:00,ceqP7167uaTR
315,315,credit_card,31.36,2025-07-22 12:01:00,QvHH8993SSNg
316,316,debit_card,50.78,2025-10-28 09:47:00,QRPy6375jJNd
317,317,credit_card,27.69,2025-12-20 09:11:00,FkeW0287Fupv
318,318,debit_card,26.34,2025-05-11 12:26:00,JPyz4083pfDC
319,319,debit_card,66.39,2025-10-12 11:30:00,CuhF9717VPbg
320,320,debit_card,26.52,2025-08-19 13:31:00,JafY6608MNOt
321,321,credit_card,42.76,2025-11-09 17:44:00,vxdo8837DvJX
322,322,credit_card,20.84,2025-02-08 15:17:00,TChg9975WQoa
323,323,cash,35.96,2025-03-12 17:34:00,
324,324,cash,27.59,2025-12-28 13:27:00,
325,325,credit_card,28.48,2025-03-09 18:40:00,HxSg5548ckFi
326,326,cash,32.54,2025-03-16 12:26:00,
327,327,credit_card,39.55,2025-08-03 16:29:00,mmhz6149nDYm
328,328,credit_card,43.9,2025-09-27 14:00:00,ORLh5160XCDQ
329,329,credit_card,36.04,2025-12-31 12:32:00,aHVd9827JBLE
330,330,cash,33.64,2025-10-10 14:41:00,
331,331,cash,12.72,2025-07-23 10:07:00,
332,332,credit_card,38.12,2025-05-02 19:13:00,Uigy8292QMMu
333,333,credit_card,13.84,2025-12-15 20:15:00,SWpr8669zvsC
334,334,cash,14.48,2025-07-16 17:53:00,
335,335,credit_card,22.75,2025-07-27 18:25:00,SVGt2269SJuT
336,336,credit_card,17.63,2025-09-13 17:53:00,NTsR8333wRiT
337,337,credit_card,14.74,2025-11-16 16:56:00,ThWw2885JELK
338,338,credit_card,20.64,2025-01-19 20:59:00,ZaHg6846byjd
339,339,cash,23.03,2025-05-11 18:16:00,
340,340,credit_card,28.68,2025-10-26 20:53:00,sRqj0342dSYs
341,341,credit_card,28.55,2025-12-24 20:52:00,CgNR3805VJoV
342,342,debit_card,29.44,2025-06-07 17:10:00,YYZS8638sSQd
343,343,debit_card,27.58,2025-07-25 18:14:00,JdaV6665qmNX
344,344,cash,70.99,2025-09-14 18:07:00,
345,345,cash,24.24,2025-09-21 12:32:00,
346,346,credit_card,33.53,2025-11-25 18:05:00,IVMm7359XUms
347,347,credit_card,23.32,2025-11-30 10:48:00,lVGh7212ycBr
348,348,credit_card,16.65,2025-07-16 10:58:00,Lqav8422DTjc
349,349,credit_card,23.24,2025-11-23 17:28:00,XONQ2590tFYK
350,350,debit_card,61.01,2025-02-11 19:00:00,HolH8515eYGk
351,351,cash,56.3,2025-07-10 15:05:00,
352,352,credit_card,14.34,2025-09-25 16:08:00,fwon6886Qvvx
353,353,credit_card,15.1,2025-12-06 16:55:00,EJWP4398ahQw
354,354,debit_card,48.0,2025-09-13 17:39:00,pcRu7399yYhy
355,355,debit_card,48.6,2025-12-22 12:55:00,HXxG4840ZGCF
356,356,debit_card,19.03,2025-10-10 14:39:00,Gfgk0435XIIa
357,357,credit_card,36.59,2025-07-08 15:44:00,gnIS1336VXBP
358,358,cash,25.67,2025-08-11 12:54:00,
359,359,credit_card,16.78,2025-06-21 19:20:00,Tvcf1207edlY
360,360,cash,23.28,2025-02-02 15:49:00,
361,361,debit_card,27.81,2025-08-10 18:50:00,oqAy4819COzB
362,362,credit_card,29.94,2025-12-08 19:55:00,IaPU5061NeWV
363,363,credit_card,19.07,2025-12-06 10:48:00,GgsY9015RtMf
364,364,credit_card,6.02,2025-04-20 18:48:00,QbEk4766IoiV
365,365,debit_card,34.56,2025-03-06 08:18:00,tRYU6842PxaJ
366,366,cash,19.51,2025-09-05 15:06:00,
367,367,cash,57.31,2025-08-12 19:22:00,
368,368,credit_card,16.6,2025-12-09 10:42:00,aKMz8210IJft
369,369,cash,35.42,2025-05-03 20:45:00,
370,370,credit_card,41.75,2025-07-06 12:42:00,PGjk3536loNq
371,371,credit_card,35.32,2025-07-28 13:54:00,dWJD3129PJes
372,372,cash,41.49,2025-08-03 20:28:00,
373,373,cash,38.41,2025-12-07 20:29:00,
374,374,credit_card,17.39,2025-12-03 20:20:00,ULFv1413wiQP
375,375,debit_card,30.45,2025-12-30 12:37:00,emuF3149CvNQ
376,376,debit_card,43.92,2025-10-30 17:54:00,KxZu4929Bkau
377,377,credit_card,59.36,2025-09-28 17:29:00,xiRU3364vEDC
378,378,credit_card,33.45,2025-12-31 08:58:00,glPM5478friI
379,379,cash,18.1,2025-04-27 14:38:00,
380,380,debit_card,17.47,2025-11-30 09:15:00,bGOb3411LLzX
381,381,credit_card,42.09,2025-07-04 18:09:00,qIIE9308PXjx
382,382,cash,16.43,2025-12-28 17:04:00,
383,383,credit_card,28.22,2025-07-17 11:35:00,iDGG6394fzxG
384,384,debit_card,28.06,2025-03-15 12:54:00,WGiC0392klKK
385,385,credit_card,44.25,2025-08-31 16:45:00,oWFo2750eqxo
386,386,debit_card,43.48,2025-09-13 15:06:00,yEDc0385cPug
387,387,credit_card,79.15,2025-03-09 15:14:00,IKly8449PyxL
388,388,credit_card,14.76,2025-12-28 17:04:00,oHzw1846wFYE
389,389,credit_card,27.84,2025-07-13 16:01:00,Ckoe9082GPrn
390,390,cash,28.56,2025-05-25 09:26:00,
391,391,debit_card,40.49,2025-12-25 12:08:00,MThQ2225oAZv
392,392,cash,30.2,2025-12-19 17:33:00,
393,393,debit_card,20.56,2025-11-02 10:02:00,nLkP1777Abpc
394,394,credit_card,13.39,2025-05-11 12:38:00,iOGc2992Kjdk
395,395,debit_card,45.91,2025-08-18 14:09:00,MKOb4286UUQs
396,396,debit_card,17.16,2025-04-27 12:51:00,EEko1379AMjY
397,397,cash,20.23,2025-05-24 19:06:00,
398,398,debit_card,13.11,2025-07-19 17:36:00,qkUR9298vDML
399,399,debit_card,19.79,2025-08-31 18:50:00,igbm1366HGRA
400,400,cash,57.85,2025-12-15 15:09:00,
401,401,credit_card,8.73,2025-07-01 14:34:00,ENMc2912YIGW
402,402,credit_card,23.64,2025-08-06 10:35:00,MIaX1172RPBH
403,403,debit_card,13.59,2025-04-28 09:24:00,BoZE6508YXyw
404,404,cash,31.18,2025-07-11 19:34:00,
