inventory_id,store_id,product_id,quantity_on_hand,reorder_level,last_updated_at,aisle_code,aisle_location_description
43,1,43,215,30,2025-12-31 18:00:00,A07,Personal care aisle
44,1,44,358,33,2025-12-31 18:00:00,A08,Pantry aisle
45,1,45,362,63,2025-12-31 18:00:00,A09,Snacks aisle
46,1,46,104,18,2025-12-31 18:00:00,A10,Seafood aisle
47,1,47,216,41,2025-12-31 18:00:00,A11,Household aisle
48,1,48,95,13,2025-12-31 18:00:00,A12,Deli aisle
49,1,49,152,5,2025-12-31 18:00:00,A01,Produce aisle
50,1,50,80,13,2025-12-31 18:00:00,A02,Dairy aisle
51,1,51,128,16,2025-12-31 18:00:00,A03,Meat aisle
52,1,52,108,21,2025-12-31 18:00:00,A04,Bakery aisle
53,1,53,27,5,2025-12-31 18:00:00,A05,Frozen aisle
54,1,54,452,88,2025-12-31 18:00:00,A06,Beverages aisle
55,1,55,271,33,2025-12-31 18:00:00,A07,Personal care aisle
56,1,56,191,20,2025-12-31 18:00:00,A08,Pantry aisle
57,1,57,257,39,2025-12-31 18:00:00,A09,Snacks aisle
58,1,58,25,5,2025-12-31 18:00:00,A10,Seafood aisle
59,1,59,267,33,2025-12-31 18:00:00,A11,Household aisle
60,1,60,107,15,2025-12-31 18:00:00,A12,Deli aisle
61,1,61,191,5,2025-12-31 18:00:00,A01,Produce aisle
62,1,62,65,12,2025-12-31 18:00:00,A02,Dairy aisle
63,1,63,120,19,2025-12-31 18:00:00,A03,Meat aisle
64,1,64,186,9,2025-12-31 18:00:00,A04,Bakery aisle
65,1,65,137,10,2025-12-31 18:00:00,A05,Frozen aisle
66,1,66,349,69,2025-12-31 18:00:00,A06,Beverages aisle
67,1,67,188,28,2025-12-31 18:00:00,A07,Personal care aisle
68,1,68,415,56,2025-12-31 18:00:00,A08,Pantry aisle
69,1,69,475,77,2025-12-31 18:00:00,A09,Snacks aisle
70,1,70,207,12,2025-12-31 18:00:00,A10,Seafood aisle
71,1,71,351,50,2025-12-31 18:00:00,A11,Household aisle
72,1,72,89,11,2025-12-31 18:00:00,A12,Deli aisle
73,1,73,77,13,2025-12-31 18:00:00,A01,Produce aisle
74,1,74,101,19,2025-12-31 18:00:00,A02,Dairy aisle
75,1,75,181,12,2025-12-31 18:00:00,A03,Meat aisle
76,1,76,21,5,2025-12-31 18:00:00,A04,Bakery aisle
77,1,77,97,18,2025-12-31 18:00:00,A05,Frozen aisle
78,1,78,376,75,2025-12-31 18:00:00,A06,Beverages aisle
79,1,79,231,43,2025-12-31 18:00:00,A07,Personal care aisle
80,1,80,161,22,2025-12-31 18:00:00,A08,Pantry aisle
81,1,81,189,32,2025-12-31 18:00:00,A09,Snacks aisle
82,1,82,105,17,2025-12-31 18:00:00,A10,Seafood aisle
83,1,83,460,86,2025-12-31 18:00:00,A11,Household aisle
84,1,84,102,14,2025-12-31 18:00:00,A12,Deli aisle
85,1,85,43,9,2025-12-31 18:00:00,A01,Produce aisle
86,1,86,67,5,2025-12-31 18:00:00,A02,Dairy aisle
87,1,87,223,18,2025-12-31 18:00:00,A03,Meat aisle
88,1,88,52,7,2025-12-31 18:00:00,A04,Bakery aisle
89,1,89,127,16,2025-12-31 18:00:00,A05,Frozen aisle
90,1,90,288,59,2025-12-31 18:00:00,A06,Beverages aisle
91,1,91,81,12,2025-12-31 18:00:00,A07,Personal care aisle
92,1,92,231,26,2025-12-31 18:00:00,A08,Pantry aisle
93,1,93,444,51,2025-12-31 18:00:00,A09,Snacks aisle
94,1,94,120,18,2025-12-31 18:00:00,A10,Seafood aisle
95,1,95,94,15,2025-12-31 18:00:00,A11,Household aisle
96,1,96,96,18,2025-12-31 18:00:00,A12,Deli aisle
97,1,97,77,5,2025-12-31 18:00:00,A01,Produce aisle
98,1,98,74,12,2025-12-31 18:00:00,A02,Dairy aisle
99,1,99,28,7,2025-12-31 18:00:00,A03,Meat aisle
100,1,100,140,15,2025-12-31 18:00:00,A04,Bakery aisle
101,1,101,134,20,2025-12-31 18:00:00,A05,Frozen aisle
102,1,102,441,55,2025-12-31 18:00:00,A06,Beverages aisle
103,1,103,89,14,2025-12-31 18:00:00,A07,Personal care aisle
104,1,104,436,73,2025-12-31 18:00:00,A08,Pantry aisle
105,1,105,410,55,2025-12-31 18:00:00,A09,Snacks aisle
106,1,106,47,8,2025-12-31 18:00:00,A10,Seafood aisle
107,1,107,133,20,2025-12-31 18:00:00,A11,Household aisle
108,1,108,77,12,2025-12-31 18:00:00,A12,Deli aisle
109,1,109,12,5,2025-12-31 18:00:00,A01,Produce aisle
110,1,110,93,9,2025-12-31 18:00:00,A02,Dairy aisle
111,1,111,127,6,2025-12-31 18:00:00,A03,Meat aisle
112,1,112,61,13,2025-12-31 18:00:00,A04,Bakery aisle
113,1,113,112,16,2025-12-31 18:00:00,A05,Frozen aisle
114,1,114,159,26,2025-12-31 18:00:00,A06,Beverages aisle
115,1,115,421,46,2025-12-31 18:00:00,A07,Personal care aisle
116,1,116,420,63,2025-12-31 18:00:00,A08,Pantry aisle
117,1,117,125,12,2025-12-31 18:00:00,A09,Snacks aisle
118,1,118,232,27,2025-12-31 18:00:00,A10,Seafood aisle
119,1,119,103,12,2025-12-31 18:00:00,A11,Household aisle
120,1,120,92,13,2025-12-31 18:00:00,A12,Deli aisle
121,1,121,58,7,2025-12-31 18:00:00,A01,Produce aisle
122,1,122,36,6,2025-12-31 18:00:00,A02,Dairy aisle
123,1,123,111,17,2025-12-31 18:00:00,A03,Meat aisle
124,1,124,197,13,2025-12-31 18:00:00,A04,Bakery aisle
125,1,125,88,16,2025-12-31 18:00:00,A05,Frozen aisle
126,1,126,430,84,2025-12-31 18:00:00,A06,Beverages aisle
127,1,127,431,75,2025-12-31 18:00:00,A07,Personal care aisle
128,1,128,453,57,2025-12-31 18:00:00,A08,Pantry aisle
129,1,129,130,29,2025-12-31 18:00:00,A09,Snacks aisle
130,1,130,53,8,2025-12-31 18:00:00,A10,Seafood aisle
131,1,131,289,42,2025-12-31 18:00:00,A11,Household aisle
132,1,132,99,10,2025-12-31 18:00:00,A12,Deli aisle
133,1,133,69,13,2025-12-31 18:00:00,A01,Produce aisle
134,1,134,36,7,2025-12-31 18:00:00,A02,Dairy aisle
135,1,135,217,14,2025-12-31 18:00:00,A03,Meat aisle
136,1,136,31,5,2025-12-31 18:00:00,A04,Bakery aisle
137,1,137,135,26,2025-12-31 18:00:00,A05,Frozen aisle
138,1,138,286,40,2025-12-31 18:00:00,A06,Beverages aisle
139,1,139,189,30,2025-12-31 18:00:00,A07,Personal care aisle
140,1,140,195,22,2025-12-31 18:00:00,A08,Pantry aisle
141,1,141,256,40,2025-12-31 18:00:00,A09,Snacks aisle
142,1,142,20,5,2025-12-31 18:00:00,A10,Seafood aisle
143,1,143,361,36,2025-12-31 18:00:00,A11,Household aisle
144,1,144,94,18,2025-12-31 18:00:00,A12,Deli aisle
145,1,145,125,18,2025-12-31 18:00:00,A01,Produce aisle
146,1,146,199,22,2025-12-31 18:00:00,A02,Dairy aisle
147,1,147,110,19,2025-12-31 18:00:00,A03,Meat aisle
148,1,148,172,8,2025-12-31 18:00:00,A04,Bakery aisle
149,1,149,90,15,2025-12-31 18:00:00,A05,Frozen aisle
150,1,150,100,15,2025-12-31 18:00:00,A06,Beverages aisle
151,2,1,50,12,2025-12-31 18:00:00,A01,Produce aisle
152,2,2,58,7,2025-12-31 18:00:00,A02,Dairy aisle
153,2,3,49,9,2025-12-31 18:00:00,A03,Meat aisle
154,2,4,132,17,2025-12-31 18:00:00,A04,Bakery aisle
155,2,5,103,5,2025-12-31 18:00:00,A05,Frozen aisle
156,2,6,312,58,2025-12-31 18:00:00,A06,Beverages aisle
157,2,7,195,29,2025-12-31 18:00:00,A07,Personal care aisle
158,2,8,408,67,2025-12-31 18:00:00,A08,Pantry aisle
159,2,9,239,40,2025-12-31 18:00:00,A09,Snacks aisle
160,2,10,88,13,2025-12-31 18:00:00,A10,Seafood aisle
161,2,11,489,56,2025-12-31 18:00:00,A11,Household aisle
162,2,12,92,18,2025-12-31 18:00:00,A12,Deli aisle
163,2,13,57,11,2025-12-31 18:00:00,A01,Produce aisle
164,2,14,45,9,2025-12-31 18:00:00,A02,Dairy aisle
165,2,15,98,17,2025-12-31 18:00:00,A03,Meat aisle
166,2,16,116,21,2025-12-31 18:00:00,A04,Bakery aisle
167,2,17,302,23,2025-12-31 18:00:00,A05,Frozen aisle
168,2,18,234,40,2025-12-31 18:00:00,A06,Beverages aisle
169,2,19,480,56,2025-12-31 18:00:00,A07,Personal care aisle
170,2,20,146,28,2025-12-31 18:00:00,A08,Pantry aisle
171,2,21,172,18,2025-12-31 18:00:00,A09,Snacks aisle
172,2,22,75,13,2025-12-31 18:00:00,A10,Seafood aisle
173,2,23,338,61,2025-12-31 18:00:00,A11,Household aisle
174,2,24,27,6,2025-12-31 18:00:00,A12,Deli aisle
175,2,25,83,10,2025-12-31 18:00:00,A01,Produce aisle
176,2,26,125,25,2025-12-31 18:00:00,A02,Dairy aisle
177,2,27,108,20,2025-12-31 18:00:00,A03,Meat aisle
178,2,28,69,12,2025-12-31 18:00:00,A04,Bakery aisle
179,2,29,62,13,2025-12-31 18:00:00,A05,Frozen aisle
180,2,30,411,58,2025-12-31 18:00:00,A06,Beverages aisle
181,2,31,212,24,2025-12-31 18:00:00,A07,Personal care aisle
182,2,32,82,11,2025-12-31 18:00:00,A08,Pantry aisle
183,2,33,84,12,2025-12-31 18:00:00,A09,Snacks aisle
184,2,34,95,14,2025-12-31 18:00:00,A10,Seafood aisle
185,2,35,115,21,2025-12-31 18:00:00,A11,Household aisle
186,2,36,65,10,2025-12-31 18:00:00,A12,Deli aisle
187,2,37,84,13,2025-12-31 18:00:00,A01,Produce aisle
188,2,38,88,11,2025-12-31 18:00:00,A02,Dairy aisle
189,2,39,19,5,2025-12-31 18:00:00,A03,Meat aisle
190,2,40,111,16,2025-12-31 18:00:00,A04,Bakery aisle
191,2,41,111,22,2025-12-31 18:00:00,A05,Frozen aisle
192,2,42,332,35,2025-12-31 18:00:00,A06,Beverages aisle
193,2,43,266,41,2025-12-31 18:00:00,A07,Personal care aisle
194,2,44,198,13,2025-12-31 18:00:00,A08,Pantry aisle
195,2,45,403,32,2025-12-31 18:00:00,A09,Snacks aisle
196,2,46,36,5,2025-12-31 18:00:00,A10,Seafood aisle
197,2,47,429,61,2025-12-31 18:00:00,A11,Household aisle
198,2,48,129,22,2025-12-31 18:00:00,A12,Deli aisle
199,2,49,31,9,2025-12-31 18:00:00,A01,Produce aisle
200,2,50,24,5,2025-12-31 18:00:00,A02,Dairy aisle
201,2,51,71,15,2025-12-31 18:00:00,A03,Meat aisle
202,2,52,118,18,2025-12-31 18:00:00,A04,Bakery aisle
203,2,53,48,8,2025-12-31 18:00:00,A05,Frozen aisle
204,2,54,95,17,2025-12-31 18:00:00,A06,Beverages aisle
205,2,55,281,51,2025-12-31 18:00:00,A07,Personal care aisle
206,2,56,414,56,2025-12-31 18:00:00,A08,Pantry aisle
207,2,57,262,50,2025-12-31 18:00:00,A09,Snacks aisle
208,2,58,190,9,2025-12-31 18:00:00,A10,Seafood aisle
209,2,59,358,46,2025-12-31 18:00:00,A11,Household aisle
210,2,60,330,23,2025-12-31 18:00:00,A12,Deli aisle
211,2,61,177,5,2025-12-31 18:00:00,A01,Produce aisle
212,2,62,23,6,2025-12-31 18:00:00,A02,Dairy aisle
213,2,63,53,7,2025-12-31 18:00:00,A03,Meat aisle
214,2,64,79,10,2025-12-31 18:00:00,A04,Bakery aisle
215,2,65,45,6,2025-12-31 18:00:00,A05,Frozen aisle
216,2,66,298,52,2025-12-31 18:00:00,A06,Beverages aisle
217,2,67,450,71,2025-12-31 18:00:00,A07,Personal care aisle
218,2,68,414,70,2025-12-31 18:00:00,A08,Pantry aisle
219,2,69,203,15,2025-12-31 18:00:00,A09,Snacks aisle
220,2,70,97,17,2025-12-31 18:00:00,A10,Seafood aisle
221,2,71,264,48,2025-12-31 18:00:00,A11,Household aisle
222,2,72,97,12,2025-12-31 18:00:00,A12,Deli aisle
223,2,73,176,16,2025-12-31 18:00:00,A01,Produce aisle
224,2,74,119,18,2025-12-31 18:00:00,A02,Dairy aisle
225,2,75,139,6,2025-12-31 18:00:00,A03,Meat aisle
226,2,76,79,17,2025-12-31 18:00:00,A04,Bakery aisle
227,2,77,66,9,2025-12-31 18:00:00,A05,Frozen aisle
228,2,78,108,21,2025-12-31 18:00:00,A06,Beverages aisle
229,2,79,374,60,2025-12-31 18:00:00,A07,Personal care aisle
230,2,80,93,15,2025-12-31 18:00:00,A08,Pantry aisle
231,2,81,297,35,2025-12-31 18:00:00,A09,Snacks aisle
232,2,82,88,11,2025-12-31 18:00:00,A10,Seafood aisle
233,2,83,282,39,2025-12-31 18:00:00,A11,Household aisle
234,2,84,62,11,2025-12-31 18:00:00,A12,Deli aisle
235,2,85,51,9,2025-12-31 18:00:00,A01,Produce aisle
236,2,86,128,15,2025-12-31 18:00:00,A02,Dairy aisle
237,2,87,83,12,2025-12-31 18:00:00,A03,Meat aisle
238,2,88,120,16,2025-12-31 18:00:00,A04,Bakery aisle
239,2,89,27,6,2025-12-31 18:00:00,A05,Frozen aisle
240,2,90,314,42,2025-12-31 18:00:00,A06,Beverages aisle
241,2,91,447,44,2025-12-31 18:00:00,A07,Personal care aisle
242,2,92,374,63,2025-12-31 18:00:00,A08,Pantry aisle
243,2,93,298,33,2025-12-31 18:00:00,A09,Snacks aisle
244,2,94,127,16,2025-12-31 18:00:00,A10,Seafood aisle
245,2,95,81,12,2025-12-31 18:00:00,A11,Household aisle
246,2,96,72,8,2025-12-31 18:00:00,A12,Deli aisle
247,2,97,32,7,2025-12-31 18:00:00,A01,Produce aisle
248,2,98,111,21,2025-12-31 18:00:00,A02,Dairy aisle
249,2,99,141,17,2025-12-31 18:00:00,A03,Meat aisle
250,2,100,180,13,2025-12-31 18:00:00,A04,Bakery aisle
251,2,101,53,7,2025-12-31 18:00:00,A05,Frozen aisle
252,2,102,315,38,2025-12-31 18:00:00,A06,Beverages aisle
253,2,103,384,76,2025-12-31 18:00:00,A07,Personal care aisle
254,2,104,444,77,2025-12-31 18:00:00,A08,Pantry aisle
255,2,105,283,43,2025-12-31 18:00:00,A09,Snacks aisle
256,2,106,125,20,2025-12-31 18:00:00,A10,Seafood aisle
257,2,107,171,28,2025-12-31 18:00:00,A11,Household aisle
258,2,108,101,21,2025-12-31 18:00:00,A12,Deli aisle
259,2,109,93,8,2025-12-31 18:00:00,A01,Produce aisle
260,2,110,134,26,2025-12-31 18:00:00,A02,Dairy aisle
261,2,111,235,27,2025-12-31 18:00:00,A03,Meat aisle
262,2,112,141,26,2025-12-31 18:00:00,A04,Bakery aisle
263,2,113,150,10,2025-12-31 18:00:00,A05,Frozen aisle
264,2,114,440,65,2025-12-31 18:00:00,A06,Beverages aisle
265,2,115,101,17,2025-12-31 18:00:00,A07,Personal care aisle
266,2,116,430,58,2025-12-31 18:00:00,A08,Pantry aisle
267,2,117,509,83,2025-12-31 18:00:00,A09,Snacks aisle
268,2,118,203,15,2025-12-31 18:00:00,A10,Seafood aisle
269,2,119,122,16,2025-12-31 18:00:00,A11,Household aisle
270,2,120,67,7,2025-12-31 18:00:00,A12,Deli aisle
271,2,121,147,6,2025-12-31 18:00:00,A01,Produce aisle
272,2,122,77,10,2025-12-31 18:00:00,A02,Dairy aisle
273,2,123,84,11,2025-12-31 18:00:00,A03,Meat aisle
274,2,124,352,18,2025-12-31 18:00:00,A04,Bakery aisle
275,2,125,72,10,2025-12-31 18:00:00,A05,Frozen aisle
276,2,126,248,37,2025-12-31 18:00:00,A06,Beverages aisle
277,2,127,476,81,2025-12-31 18:00:00,A07,Personal care aisle
278,2,128,435,47,2025-12-31 18:00:00,A08,Pantry aisle
279,2,129,424,48,2025-12-31 18:00:00,A09,Snacks aisle
280,2,130,106,19,2025-12-31 18:00:00,A10,Seafood aisle
281,2,131,438,46,2025-12-31 18:00:00,A11,Household aisle
282,2,132,43,8,2025-12-31 18:00:00,A12,Deli aisle
283,2,133,98,14,2025-12-31 18:00:00,A01,Produce aisle
284,2,134,33,5,2025-12-31 18:00:00,A02,Dairy aisle
285,2,135,88,16,2025-12-31 18:00:00,A03,Meat aisle
286,2,136,149,10,2025-12-31 18:00:00,A04,Bakery aisle
287,2,137,91,11,2025-12-31 18:00:00,A05,Frozen aisle
288,2,138,379,45,2025-12-31 18:00:00,A06,Beverages aisle
289,2,139,411,42,2025-12-31 18:00:00,A07,Personal care aisle
290,2,140,476,67,2025-12-31 18:00:00,A08,Pantry aisle
291,2,141,328,34,2025-12-31 18:00:00,A09,Snacks aisle
292,2,142,41,7,2025-12-31 18:00:00,A10,Seafood aisle
293,2,143,255,35,2025-12-31 18:00:00,A11,Household aisle
294,2,144,150,10,2025-12-31 18:00:00,A12,Deli aisle
295,2,145,60,11,2025-12-31 18:00:00,A01,Produce aisle
296,2,146,77,9,2025-12-31 18:00:00,A02,Dairy aisle
297,2,147,78,14,2025-12-31 18:00:00,A03,Meat aisle
298,2,148,72,14,2025-12-31 18:00:00,A04,Bakery aisle
299,2,149,19,5,2025-12-31 18:00:00,A05,Frozen aisle
300,2,150,376,48,2025-12-31 18:00:00,A06,Beverages aisle
301,3,1,69,12,2025-12-31 18:00:00,A01,Produce aisle
302,3,2,75,8,2025-12-31 18:00:00,A02,Dairy aisle
303,3,3,105,12,2025-12-31 18:00:00,A03,Meat aisle
304,3,4,138,13,2025-12-31 18:00:00,A04,Bakery aisle
305,3,5,62,10,2025-12-31 18:00:00,A05,Frozen aisle
306,3,6,209,24,2025-12-31 18:00:00,A06,Beverages aisle
307,3,7,503,54,2025-12-31 18:00:00,A07,Personal care aisle
308,3,8,118,20,2025-12-31 18:00:00,A08,Pantry aisle
309,3,9,75,12,2025-12-31 18:00:00,A09,Snacks aisle
310,3,10,111,19,2025-12-31 18:00:00,A10,Seafood aisle
311,3,11,370,70,2025-12-31 18:00:00,A11,Household aisle
312,3,12,147,19,2025-12-31 18:00:00,A12,Deli aisle
313,3,13,42,8,2025-12-31 18:00:00,A01,Produce aisle
314,3,14,118,25,2025-12-31 18:00:00,A02,Dairy aisle
315,3,15,133,18,2025-12-31 18:00:00,A03,Meat aisle
316,3,16,63,10,2025-12-31 18:00:00,A04,Bakery aisle
317,3,17,82,10,2025-12-31 18:00:00,A05,Frozen aisle
318,3,18,309,43,2025-12-31 18:00:00,A06,Beverages aisle
319,3,19,186,27,2025-12-31 18:00:00,A07,Personal care aisle
320,3,20,282,36,2025-12-31 18:00:00,A08,Pantry aisle
321,3,21,337,65,2025-12-31 18:00:00,A09,Snacks aisle
322,3,22,130,24,2025-12-31 18:00:00,A10,Seafood aisle
323,3,23,452,53,2025-12-31 18:00:00,A11,Household aisle
324,3,24,143,17,2025-12-31 18:00:00,A12,Deli aisle
325,3,25,84,12,2025-12-31 18:00:00,A01,Produce aisle
326,3,26,28,5,2025-12-31 18:00:00,A02,Dairy aisle
327,3,27,76,13,2025-12-31 18:00:00,A03,Meat aisle
328,3,28,251,13,2025-12-31 18:00:00,A04,Bakery aisle
329,3,29,84,11,2025-12-31 18:00:00,A05,Frozen aisle
330,3,30,413,51,2025-12-31 18:00:00,A06,Beverages aisle
331,3,31,354,42,2025-12-31 18:00:00,A07,Personal care aisle
332,3,32,470,64,2025-12-31 18:00:00,A08,Pantry aisle
333,3,33,300,38,2025-12-31 18:00:00,A09,Snacks aisle
334,3,34,106,15,2025-12-31 18:00:00,A10,Seafood aisle
335,3,35,113,13,2025-12-31 18:00:00,A11,Household aisle
336,3,36,85,17,2025-12-31 18:00:00,A12,Deli aisle
337,3,37,116,15,2025-12-31 18:00:00,A01,Produce aisle
338,3,38,113,15,2025-12-31 18:00:00,A02,Dairy aisle
339,3,39,138,13,2025-12-31 18:00:00,A03,Meat aisle
340,3,40,109,13,2025-12-31 18:00:00,A04,Bakery aisle
341,3,41,135,22,2025-12-31 18:00:00,A05,Frozen aisle
342,3,42,323,36,2025-12-31 18:00:00,A06,Beverages aisle
343,3,43,118,20,2025-12-31 18:00:00,A07,Personal care aisle
344,3,44,196,36,2025-12-31 18:00:00,A08,Pantry aisle
345,3,45,126,16,2025-12-31 18:00:00,A09,Snacks aisle
346,3,46,102,19,2025-12-31 18:00:00,A10,Seafood aisle
347,3,47,217,34,2025-12-31 18:00:00,A11,Household aisle
348,3,48,63,10,2025-12-31 18:00:00,A12,Deli aisle
349,3,49,105,20,2025-12-31 18:00:00,A01,Produce aisle
350,3,50,122,24,2025-12-31 18:00:00,A02,Dairy aisle
351,3,51,225,16,2025-12-31 18:00:00,A03,Meat aisle
352,3,52,49,7,2025-12-31 18:00:00,A04,Bakery aisle
353,3,53,140,28,2025-12-31 18:00:00,A05,Frozen aisle
354,3,54,443,56,2025-12-31 18:00:00,A06,Beverages aisle
355,3,55,357,49,2025-12-31 18:00:00,A07,Personal care aisle
356,3,56,297,42,2025-12-31 18:00:00,A08,Pantry aisle
357,3,57,354,51,2025-12-31 18:00:00,A09,Snacks aisle
358,3,58,81,12,2025-12-31 18:00:00,A10,Seafood aisle
359,3,59,429,55,2025-12-31 18:00:00,A11,Household aisle
360,3,60,181,12,2025-12-31 18:00:00,A12,Deli aisle
361,3,61,68,12,2025-12-31 18:00:00,A01,Produce aisle
362,3,62,124,13,2025-12-31 18:00:00,A02,Dairy aisle
363,3,63,119,13,2025-12-31 18:00:00,A03,Meat aisle
364,3,64,128,23,2025-12-31 18:00:00,A04,Bakery aisle
365,3,65,20,5,2025-12-31 18:00:00,A05,Frozen aisle
366,3,66,447,93,2025-12-31 18:00:00,A06,Beverages aisle
367,3,67,95,13,2025-12-31 18:00:00,A07,Personal care aisle
368,3,68,465,66,2025-12-31 18:00:00,A08,Pantry aisle
369,3,69,161,22,2025-12-31 18:00:00,A09,Snacks aisle
370,3,70,49,10,2025-12-31 18:00:00,A10,Seafood aisle
371,3,71,304,38,2025-12-31 18:00:00,A11,Household aisle
372,3,72,96,7,2025-12-31 18:00:00,A12,Deli aisle
373,3,73,79,11,2025-12-31 18:00:00,A01,Produce aisle
374,3,74,97,7,2025-12-31 18:00:00,A02,Dairy aisle
375,3,75,32,6,2025-12-31 18:00:00,A03,Meat aisle
376,3,76,205,17,2025-12-31 18:00:00,A04,Bakery aisle
377,3,77,43,7,2025-12-31 18:00:00,A05,Frozen aisle
378,3,78,352,54,2025-12-31 18:00:00,A06,Beverages aisle
379,3,79,474,52,2025-12-31 18:00:00,A07,Personal care aisle
380,3,80,423,70,2025-12-31 18:00:00,A08,Pantry aisle
381,3,81,239,42,2025-12-31 18:00:00,A09,Snacks aisle
382,3,82,77,10,2025-12-31 18:00:00,A10,Seafood aisle
383,3,83,463,63,2025-12-31 18:00:00,A11,Household aisle
384,3,84,24,5,2025-12-31 18:00:00,A12,Deli aisle
385,3,85,73,12,2025-12-31 18:00:00,A01,Produce aisle
386,3,86,116,15,2025-12-31 18:00:00,A02,Dairy aisle
387,3,87,238,18,2025-12-31 18:00:00,A03,Meat aisle
388,3,88,86,7,2025-12-31 18:00:00,A04,Bakery aisle
389,3,89,78,13,2025-12-31 18:00:00,A05,Frozen aisle
390,3,90,554,65,2025-12-31 18:00:00,A06,Beverages aisle
391,3,91,262,47,2025-12-31 18:00:00,A07,Personal care aisle
392,3,92,105,19,2025-12-31 18:00:00,A08,Pantry aisle
393,3,93,154,25,2025-12-31 18:00:00,A09,Snacks aisle
394,3,94,92,12,2025-12-31 18:00:00,A10,Seafood aisle
395,3,95,129,20,2025-12-31 18:00:00,A11,Household aisle
396,3,96,53,6,2025-12-31 18:00:00,A12,Deli aisle
397,3,97,111,13,2025-12-31 18:00:00,A01,Produce aisle
398,3,98,131,23,2025-12-31 18:00:00,A02,Dairy aisle
399,3,99,73,12,2025-12-31 18:00:00,A03,Meat aisle
400,3,100,65,12,2025-12-31 18:00:00,A04,Bakery aisle
401,3,101,31,5,2025-12-31 18:00:00,A05,Frozen aisle
402,3,102,453,85,2025-12-31 18:00:00,A06,Beverages aisle
403,3,103,452,49,2025-12-31 18:00:00,A07,Personal care aisle
404,3,104,365,38,2025-12-31 18:00:00,A08,Pantry aisle
405,3,105,141,26,2025-12-31 18:00:00,A09,Snacks aisle
406,3,106,124,22,2025-12-31 18:00:00,A10,Seafood aisle
407,3,107,444,62,2025-12-31 18:00:00,A11,Household aisle
408,3,108,38,5,2025-12-31 18:00:00,A12,Deli aisle
409,3,109,130,16,2025-12-31 18:00:00,A01,Produce aisle
410,3,110,98,17,2025-12-31 18:00:00,A02,Dairy aisle
411,3,111,143,22,2025-12-31 18:00:00,A03,Meat aisle
412,3,112,95,16,2025-12-31 18:00:00,A04,Bakery aisle
413,3,113,113,20,2025-12-31 18:00:00,A05,Frozen aisle
