product_id,category_id,product_name,brand_name,package_size,unit_of_measure,barcode,is_perishable,product_status,current_unit_price
104,8,Urban Pantry Sugar,Urban Pantry,2 lb,bag,261118623175,False,active,3.88
105,9,Pure Living Potato Chips,Pure Living,12 oz,bag,555381080979,False,active,5.49
106,10,Prime Goods Tilapia,Prime Goods,1 lb,lb,190170799779,True,active,7.13
107,11,Pure Living Sponges,Pure Living,3 count,pack,816034202609,False,active,2.77
108,12,Classic Kitchen Coleslaw,Classic Kitchen,24 oz,container,618959874397,True,active,7.11
109,1,Classic Kitchen Potatoes,Classic Kitchen,3 lb,bag,117520141303,True,seasonal,4.66
110,2,Golden Farm Cheddar Cheese,Golden Farm,16 oz,pack,416866248678,True,active,5.92
111,3,Prime Goods Beef Roast,Prime Goods,2 lb,lb,974622637873,True,seasonal,17.56
112,4,Value Fresh Cookies,Value Fresh,8 oz,box,119482202674,True,active,4.79
113,5,Prime Goods French Fries,Prime Goods,16 oz,bag,774316584253,True,active,4.13
114,6,Homestyle Apple Juice,Homestyle,64 oz,bottle,193064274382,False,active,4.66
115,7,Prime Goods Shampoo,Prime Goods,20 oz,bottle,619147005473,False,active,12.88
116,8,Market Plus Pasta,Market Plus,16 oz,box,490911783800,False,active,1.97
117,9,Sunrise Popcorn,Sunrise,3 count,box,909953107386,False,active,3.08
118,10,Pure Living Mussels,Pure Living,2 lb,lb,291739347185,True,active,14.15
119,11,Golden Farm Plastic Wrap,Golden Farm,100 sq ft,box,953478914707,False,active,3.58
120,12,Sunrise Mac and Cheese,Sunrise,24 oz,container,443777368334,True,seasonal,9.96
121,1,Urban Pantry Tomatoes,Urban Pantry,each,each,924791005825,True,active,1.04
122,2,Pure Living Eggs,Pure Living,6 count,pack,463593597644,True,seasonal,4.09
123,3,Classic Kitchen Chicken Wings,Classic Kitchen,2 lb,lb,917761866683,True,active,10.69
124,4,Brooklyn Best Dinner Rolls,Brooklyn Best,12 count,pack,648433258112,True,seasonal,4.59
125,5,Golden Farm Frozen Vegetables,Golden Farm,16 oz,bag,763274407218,True,active,3.47
126,6,Nature Basket Coffee,Nature Basket,32 oz,bottle,424961173652,False,seasonal,3.7
127,7,Metro Select Lotion,Metro Select,20 oz,bottle,588293821738,False,active,7.2
128,8,Value Fresh Cereal,Value Fresh,12 oz,box,581028394033,False,seasonal,3.68
129,9,Nature Basket Granola Bars,Nature Basket,6 count,box,982671983350,False,seasonal,3.28
130,10,Fresh Choice Cod Fillet,Fresh Choice,1 lb,lb,173556597858,True,active,11.16
131,11,Value Fresh Plastic Wrap,Value Fresh,200 sq ft,box,843688354108,False,active,5.73
132,12,Value Fresh Ham Slices,Value Fresh,16 oz,pack,680411980930,True,active,7.93
133,1,Daily Harvest Bananas,Daily Harvest,2 lb,lb,228679453809,True,seasonal,1.51
134,2,Classic Kitchen Eggs,Classic Kitchen,12 count,pack,231261384811,True,active,5.6
135,3,Value Fresh Chicken Wings,Value Fresh,1 lb,lb,861435754729,True,active,5.36
136,4,Brooklyn Best Bagels,Brooklyn Best,6 count,pack,588395204803,True,active,4.99
137,5,Queens Choice Frozen Waffles,Queens Choice,10 count,box,420156188169,True,active,4.41
138,6,Sunrise Bottled Water,Sunrise,16.9 oz,bottle,659898345574,False,active,1.98
139,7,Daily Harvest Shampoo,Daily Harvest,20 oz,bottle,644560505739,False,active,10.31
140,8,Brooklyn Best Oats,Brooklyn Best,18 oz,canister,244103226328,False,seasonal,3.12
141,9,Market Plus Gummy Candy,Market Plus,10 oz,bag,627073531786,False,active,5.03
142,10,Metro Select Shrimp,Metro Select,2 lb,bag,452068690122,True,active,18.25
143,11,Metro Select Bleach,Metro Select,32 oz,bottle,708941592508,False,active,4.53
144,12,Prime Goods Potato Salad,Prime Goods,12 oz,container,163858482694,True,active,4.6
145,1,Nature Basket Tomatoes,Nature Basket,each,each,881403749000,True,active,1.45
146,2,Pure Living Cheddar Cheese,Pure Living,16 oz,pack,375216607657,True,active,5.93
147,3,Value Fresh Ham,Value Fresh,8 oz,pack,201075518511,True,active,5.77
148,4,Metro Select Cupcakes,Metro Select,6 count,box,785729036205,True,active,9.52
149,5,Pure Living Ice Cream,Pure Living,16 oz,tub,133774683071,True,active,6.36
150,6,Homestyle Lemonade,Homestyle,59 oz,bottle,942719005116,False,active,5.23
