payroll_id,employee_id,store_id,period_start_date,period_end_date,pay_date,gross_pay,deduction_amount,net_pay,hours_worked
35,18,2,2025-10-01,2025-10-31,2025-11-05,4864.22,785.6,4078.62,
36,18,2,2025-11-01,2025-11-30,2025-12-05,4864.22,549.09,4315.13,
37,19,2,2025-10-01,2025-10-31,2025-11-05,4832.06,855.73,3976.33,
38,19,2,2025-11-01,2025-11-30,2025-12-05,4832.06,682.79,4149.27,
39,20,2,2025-10-01,2025-10-31,2025-11-05,5220.57,826.4,4394.17,
40,20,2,2025-11-01,2025-11-30,2025-12-05,5220.57,794.11,4426.46,
41,21,2,2025-10-01,2025-10-31,2025-11-05,4947.26,862.89,4084.37,
42,21,2,2025-11-01,2025-11-30,2025-12-05,4947.26,629.85,4317.41,
43,22,2,2025-10-01,2025-10-31,2025-11-05,5661.26,921.81,4739.45,
44,22,2,2025-11-01,2025-11-30,2025-12-05,5661.26,719.67,4941.59,
45,23,2,2025-10-01,2025-10-31,2025-11-05,5945.12,765.88,5179.24,
46,23,2,2025-11-01,2025-11-30,2025-12-05,5945.12,1001.61,4943.51,
47,24,2,2025-10-01,2025-10-31,2025-11-05,5134.08,690.39,4443.69,
48,24,2,2025-11-01,2025-11-30,2025-12-05,5134.08,879.23,4254.85,
49,25,2,2025-10-01,2025-10-31,2025-11-05,154.88,25.08,129.8,8.0
50,25,2,2025-11-01,2025-11-30,2025-12-05,256.13,33.56,222.57,13.23
51,26,2,2025-10-01,2025-10-31,2025-11-05,0.0,0.0,0.0,0.0
52,26,2,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
53,27,2,2025-10-01,2025-10-31,2025-11-05,302.0,32.01,269.99,15.82
54,27,2,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
55,28,2,2025-10-01,2025-10-31,2025-11-05,155.09,23.3,131.79,8.12
56,28,2,2025-11-01,2025-11-30,2025-12-05,132.17,18.48,113.69,6.92
57,29,2,2025-10-01,2025-10-31,2025-11-05,128.86,21.18,107.68,7.93
58,29,2,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
59,30,2,2025-10-01,2025-10-31,2025-11-05,0.0,0.0,0.0,0.0
60,30,2,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
61,31,3,2025-10-01,2025-10-31,2025-11-05,8478.55,1505.08,6973.47,
62,31,3,2025-11-01,2025-11-30,2025-12-05,8478.55,1377.9,7100.65,
63,32,3,2025-10-01,2025-10-31,2025-11-05,5762.13,616.39,5145.74,
64,32,3,2025-11-01,2025-11-30,2025-12-05,5762.13,619.6,5142.53,
65,33,3,2025-10-01,2025-10-31,2025-11-05,5267.48,658.95,4608.53,
66,33,3,2025-11-01,2025-11-30,2025-12-05,5267.48,920.36,4347.12,
67,34,3,2025-10-01,2025-10-31,2025-11-05,5461.04,616.65,4844.39,
68,34,3,2025-11-01,2025-11-30,2025-12-05,5461.04,668.48,4792.56,
69,35,3,2025-10-01,2025-10-31,2025-11-05,5924.35,764.63,5159.72,
70,35,3,2025-11-01,2025-11-30,2025-12-05,5924.35,634.73,5289.62,
71,36,3,2025-10-01,2025-10-31,2025-11-05,5925.52,677.49,5248.03,
72,36,3,2025-11-01,2025-11-30,2025-12-05,5925.52,958.48,4967.04,
73,37,3,2025-10-01,2025-10-31,2025-11-05,5426.62,654.64,4771.98,
74,37,3,2025-11-01,2025-11-30,2025-12-05,5426.62,748.12,4678.5,
75,38,3,2025-10-01,2025-10-31,2025-11-05,5230.96,630.24,4600.72,
76,38,3,2025-11-01,2025-11-30,2025-12-05,5230.96,889.96,4341.0,
77,39,3,2025-10-01,2025-10-31,2025-11-05,5568.15,846.49,4721.66,
78,39,3,2025-11-01,2025-11-30,2025-12-05,5568.15,619.38,4948.77,
79,40,3,2025-10-01,2025-10-31,2025-11-05,0.0,0.0,0.0,0.0
80,40,3,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
81,41,3,2025-10-01,2025-10-31,2025-11-05,113.6,11.72,101.88,6.02
82,41,3,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
83,42,3,2025-10-01,2025-10-31,2025-11-05,140.76,18.59,122.17,7.07
84,42,3,2025-11-01,2025-11-30,2025-12-05,157.29,26.51,130.78,7.9
85,43,3,2025-10-01,2025-10-31,2025-11-05,268.65,46.58,222.07,15.0
86,43,3,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
87,44,3,2025-10-01,2025-10-31,2025-11-05,122.83,15.89,106.94,7.1
88,44,3,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
89,45,3,2025-10-01,2025-10-31,2025-11-05,292.61,51.55,241.06,13.77
90,45,3,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
91,46,4,2025-10-01,2025-10-31,2025-11-05,7794.74,1204.88,6589.86,
92,46,4,2025-11-01,2025-11-30,2025-12-05,7794.74,1094.97,6699.77,
93,47,4,2025-10-01,2025-10-31,2025-11-05,6835.1,827.23,6007.87,
94,47,4,2025-11-01,2025-11-30,2025-12-05,6835.1,1162.26,5672.84,
95,48,4,2025-10-14,2025-10-31,2025-11-05,4521.08,698.98,3822.1,
96,48,4,2025-11-01,2025-11-30,2025-12-05,4521.08,676.58,3844.5,
97,49,4,2025-10-01,2025-10-31,2025-11-05,4762.11,721.5,4040.61,
98,49,4,2025-11-01,2025-11-30,2025-12-05,4762.11,758.53,4003.58,
99,50,4,2025-10-01,2025-10-31,2025-11-05,5651.28,675.81,4975.47,
100,50,4,2025-11-01,2025-11-30,2025-12-05,5651.28,936.41,4714.87,
101,51,4,2025-10-01,2025-10-31,2025-11-05,5397.88,543.22,4854.66,
102,51,4,2025-11-01,2025-11-30,2025-12-05,5397.88,908.17,4489.71,
103,52,4,2025-10-01,2025-10-31,2025-11-05,4477.9,551.91,3925.99,
104,52,4,2025-11-01,2025-11-30,2025-12-05,4477.9,504.46,3973.44,
105,53,4,2025-10-01,2025-10-31,2025-11-05,5129.09,676.74,4452.35,
106,53,4,2025-11-01,2025-11-30,2025-12-05,5129.09,542.85,4586.24,
107,54,4,2025-10-01,2025-10-31,2025-11-05,4725.87,619.36,4106.51,
108,54,4,2025-11-01,2025-11-30,2025-12-05,4725.87,647.36,4078.51,
109,55,4,2025-10-01,2025-10-31,2025-11-05,303.26,32.59,270.67,15.27
110,55,4,2025-11-01,2025-11-30,2025-12-05,290.35,39.86,250.49,14.62
111,56,4,2025-10-01,2025-10-31,2025-11-05,135.54,20.52,115.02,7.83
112,56,4,2025-11-01,2025-11-30,2025-12-05,139.0,23.91,115.09,8.03
113,57,4,2025-10-03,2025-10-31,2025-11-05,0.0,0.0,0.0,0.0
114,57,4,2025-11-01,2025-11-30,2025-12-05,242.68,25.93,216.75,12.95
115,58,4,2025-10-01,2025-10-31,2025-11-05,0.0,0.0,0.0,0.0
116,58,4,2025-11-01,2025-11-30,2025-12-05,380.19,65.92,314.27,20.18
117,59,4,2025-10-01,2025-10-31,2025-11-05,0.0,0.0,0.0,0.0
118,59,4,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
119,60,4,2025-10-22,2025-10-31,2025-11-05,0.0,0.0,0.0,0.0
120,60,4,2025-11-01,2025-11-30,2025-12-05,226.84,28.65,198.19,11.92
121,61,5,2025-10-01,2025-10-31,2025-11-05,7903.63,990.98,6912.65,
122,61,5,2025-11-01,2025-11-30,2025-12-05,7903.63,1420.4,6483.23,
123,62,5,2025-10-01,2025-10-31,2025-11-05,6611.53,918.37,5693.16,
124,62,5,2025-11-01,2025-11-30,2025-12-05,6611.53,1032.61,5578.92,
125,63,5,2025-10-01,2025-10-31,2025-11-05,5075.8,700.96,4374.84,
126,63,5,2025-11-01,2025-11-30,2025-12-05,5075.8,620.62,4455.18,
127,64,5,2025-10-01,2025-10-31,2025-11-05,5025.71,517.96,4507.75,
128,64,5,2025-11-01,2025-11-30,2025-12-05,5025.71,565.19,4460.52,
129,65,5,2025-10-01,2025-10-31,2025-11-05,5678.19,781.3,4896.89,
130,65,5,2025-11-01,2025-11-30,2025-12-05,5678.19,858.64,4819.55,
131,66,5,2025-10-01,2025-10-31,2025-11-05,4338.36,544.96,3793.4,
132,66,5,2025-11-01,2025-11-30,2025-12-05,4338.36,444.71,3893.65,
133,67,5,2025-10-01,2025-10-31,2025-11-05,5039.5,746.28,4293.22,
134,67,5,2025-11-01,2025-11-30,2025-12-05,5039.5,657.27,4382.23,
135,68,5,2025-10-28,2025-10-31,2025-11-05,5890.97,1030.43,4860.54,
136,68,5,2025-11-01,2025-11-30,2025-12-05,5890.97,759.46,5131.51,
137,69,5,2025-10-07,2025-10-31,2025-11-05,4811.82,646.75,4165.07,
138,69,5,2025-11-01,2025-11-30,2025-12-05,4811.82,663.42,4148.4,
139,70,5,2025-10-01,2025-10-31,2025-11-05,177.75,18.54,159.21,8.12
140,70,5,2025-11-01,2025-11-30,2025-12-05,174.46,29.56,144.9,7.97
141,71,5,2025-10-01,2025-10-31,2025-11-05,233.77,41.19,192.58,12.15
142,71,5,2025-11-01,2025-11-30,2025-12-05,272.82,42.2,230.62,14.18
143,72,5,2025-10-01,2025-10-31,2025-11-05,267.54,32.53,235.01,13.72
144,72,5,2025-11-01,2025-11-30,2025-12-05,113.49,17.12,96.37,5.82
145,73,5,2025-10-01,2025-10-31,2025-11-05,218.07,23.27,194.8,13.05
146,73,5,2025-11-01,2025-11-30,2025-12-05,0.0,0.0,0.0,0.0
147,74,5,2025-10-05,2025-10-31,2025-11-05,153.23,20.29,132.94,7.0
148,74,5,2025-11-01,2025-11-30,2025-12-05,434.95,53.88,381.07,19.87
149,75,5,2025-10-01,2025-10-31,2025-11-05,0.0,0.0,0.0,0.0
150,75,5,2025-11-01,2025-11-30,2025-12-05,140.48,23.84,116.64,7.87
