sale_id,store_id,customer_id,employee_id,sale_timestamp,sales_subtotal,discount_total,tax_total,points_earned,points_redeemed,total_amount
47,3,41.0,43,2025-10-05 20:04:00,25.05,0.93,2.14,24,0,26.26
48,5,,73,2025-10-18 17:22:00,19.31,0.86,1.64,0,0,20.09
49,5,171.0,72,2025-12-24 17:08:00,42.74,0.84,3.72,41,0,45.62
50,2,127.0,17,2025-01-18 09:19:00,19.21,0.0,1.7,19,0,20.91
51,4,,60,2025-12-05 12:49:00,14.9,0.0,1.32,0,0,16.22
52,4,4.0,57,2025-06-02 17:30:00,51.67,0.98,4.5,50,20,54.99
53,1,38.0,11,2025-10-14 18:28:00,16.31,0.0,1.45,16,0,17.76
54,1,14.0,2,2025-08-19 19:14:00,51.68,0.0,4.59,51,20,56.07
55,1,,12,2025-01-04 15:36:00,9.96,0.0,0.88,0,0,10.84
56,1,32.0,12,2025-10-27 19:28:00,33.53,0.0,2.98,33,10,36.41
57,2,75.0,30,2025-01-18 14:38:00,102.7,0.32,9.09,102,0,111.47
58,3,39.0,42,2025-09-08 17:45:00,7.42,0.0,0.66,7,0,8.08
59,4,109.0,46,2025-07-17 19:18:00,45.45,0.75,3.97,44,10,48.57
60,5,24.0,73,2025-08-17 19:22:00,28.83,0.0,2.56,28,0,31.39
61,5,43.0,62,2025-11-14 17:14:00,24.55,0.33,2.15,24,20,26.17
62,2,,26,2025-07-27 11:02:00,14.59,0.0,1.29,0,0,15.88
63,5,139.0,73,2025-11-12 17:17:00,33.26,0.3,2.93,32,0,35.89
64,2,189.0,25,2025-05-25 19:31:00,61.31,0.0,5.44,61,20,66.55
65,1,176.0,2,2025-05-24 15:34:00,14.64,0.0,1.3,14,0,15.94
66,1,181.0,11,2025-04-26 16:59:00,29.44,0.0,2.61,29,0,32.05
67,5,189.0,61,2025-08-20 18:55:00,32.84,0.0,2.91,32,0,35.75
68,3,94.0,41,2025-10-04 18:54:00,49.01,0.23,4.33,48,20,52.91
69,5,47.0,61,2025-10-12 15:24:00,17.57,0.55,1.51,17,0,18.53
70,3,,41,2025-12-30 12:51:00,17.63,0.34,1.53,0,0,18.82
71,4,,57,2025-06-23 20:21:00,13.03,0.0,1.16,0,0,14.19
72,4,194.0,47,2025-04-20 13:00:00,38.11,0.7,3.32,37,10,40.63
73,1,132.0,11,2025-08-02 13:28:00,29.65,0.0,2.63,29,0,32.28
74,1,119.0,2,2025-01-15 14:37:00,26.29,0.0,2.33,26,0,28.62
75,5,51.0,61,2025-08-23 17:49:00,44.66,0.0,3.96,44,0,48.62
76,5,189.0,73,2025-08-20 16:14:00,32.09,0.0,2.85,32,0,34.94
77,1,,11,2025-01-16 18:20:00,14.63,0.0,1.3,0,0,15.93
78,1,63.0,2,2025-09-27 09:43:00,38.43,0.0,3.41,38,0,41.84
79,5,36.0,61,2025-12-08 16:32:00,79.65,0.0,7.07,79,0,86.72
80,3,185.0,43,2025-07-18 12:04:00,25.28,0.37,2.21,24,0,27.12
81,4,62.0,57,2025-12-05 11:57:00,37.41,0.0,3.32,37,0,40.73
82,4,28.0,47,2025-08-17 20:59:00,38.53,0.0,3.42,38,0,41.95
83,1,191.0,11,2025-08-10 10:50:00,25.66,0.38,2.24,25,0,27.52
84,4,,60,2025-07-13 12:42:00,38.87,0.0,3.45,0,0,42.32
85,4,56.0,60,2025-07-23 20:32:00,30.85,0.34,2.71,30,10,33.12
86,5,153.0,61,2025-10-30 18:38:00,18.35,1.18,1.52,17,0,18.69
87,3,55.0,41,2025-07-22 15:21:00,50.68,0.0,4.5,50,20,54.98
88,2,25.0,29,2025-10-15 14:28:00,27.04,0.0,2.4,27,0,29.44
89,4,109.0,57,2025-12-06 14:38:00,20.01,0.0,1.78,20,0,21.79
90,2,,17,2025-10-22 12:59:00,29.55,0.0,2.62,0,0,32.17
91,3,63.0,41,2025-10-21 15:21:00,33.04,1.03,2.84,32,10,34.75
92,2,,17,2025-02-02 15:31:00,14.08,0.27,1.23,0,0,15.04
93,4,,46,2025-11-08 19:10:00,12.78,0.0,1.13,0,0,13.91
94,1,,14,2025-04-10 16:08:00,19.9,1.1,1.67,0,0,20.47
95,5,141.0,72,2025-12-06 08:58:00,37.1,1.71,3.14,35,10,38.43
96,3,75.0,32,2025-06-15 11:21:00,70.41,1.34,6.13,69,0,75.2
97,5,10.0,62,2025-12-17 17:47:00,41.23,1.06,3.57,40,20,43.54
98,5,127.0,73,2025-12-24 19:48:00,27.02,0.25,2.38,26,30,28.85
99,3,,31,2025-03-05 12:05:00,16.53,0.14,1.45,0,0,17.84
100,1,103.0,12,2025-01-04 17:11:00,40.27,0.98,3.49,39,0,42.78
101,3,83.0,32,2025-08-15 20:36:00,48.82,0.0,4.33,48,0,53.15
102,3,,41,2025-07-23 16:20:00,13.07,0.0,1.16,0,0,14.23
103,3,183.0,41,2025-10-14 20:27:00,18.05,0.0,1.6,18,0,19.65
104,3,42.0,41,2025-08-10 17:17:00,34.9,0.0,3.1,34,0,38.0
105,3,,41,2025-04-06 11:38:00,18.26,0.0,1.62,0,0,19.88
106,4,141.0,60,2025-12-15 17:01:00,26.04,1.84,2.15,24,30,26.05
107,4,139.0,60,2025-04-20 19:23:00,33.27,0.59,2.9,32,30,35.28
108,2,135.0,25,2025-12-14 17:58:00,28.92,0.0,2.57,28,0,31.49
109,1,79.0,14,2025-09-21 19:55:00,20.76,0.0,1.84,20,30,22.3
110,1,,2,2025-04-16 17:47:00,35.69,0.0,3.17,0,0,38.86
111,5,190.0,62,2025-11-17 13:43:00,22.85,0.0,2.03,22,0,24.88
112,4,,46,2025-10-20 13:06:00,14.21,0.0,1.26,0,0,15.47
113,5,,61,2025-11-30 13:40:00,17.59,0.0,1.56,0,0,19.15
114,4,,57,2025-06-15 17:43:00,17.86,0.0,1.59,0,0,19.45
115,2,27.0,30,2025-06-26 16:40:00,29.66,0.0,2.63,29,20,32.09
116,5,,61,2025-12-24 19:27:00,32.4,0.0,2.88,0,0,35.28
117,1,79.0,11,2025-07-28 12:40:00,43.54,0.0,3.86,43,0,47.4
118,4,80.0,47,2025-10-02 16:56:00,40.96,0.0,3.64,40,0,44.6
119,2,140.0,26,2025-07-01 18:06:00,38.04,0.0,3.38,38,20,41.22
120,2,,25,2025-12-21 19:28:00,17.09,0.0,1.52,0,0,18.61
121,2,25.0,30,2025-09-06 11:44:00,12.81,0.52,1.09,12,0,13.38
122,3,,31,2025-03-02 19:38:00,68.83,1.05,6.02,0,0,73.8
123,3,160.0,43,2025-04-10 13:03:00,21.18,0.0,1.88,21,0,23.06
124,3,87.0,42,2025-05-11 17:16:00,26.58,0.0,2.36,26,20,28.74
125,5,57.0,61,2025-08-22 18:26:00,38.41,0.0,3.41,38,10,41.72
126,2,,29,2025-11-23 16:39:00,34.77,0.0,3.09,0,0,37.86
127,4,,57,2025-05-15 16:51:00,30.21,0.0,2.68,0,0,32.89
128,3,16.0,41,2025-10-22 13:33:00,15.03,0.0,1.33,15,0,16.36
129,2,,17,2025-07-20 20:55:00,25.37,0.26,2.23,0,0,27.34
130,4,154.0,57,2025-06-28 11:00:00,23.58,0.0,2.09,23,0,25.67
131,1,142.0,14,2025-01-08 20:10:00,41.95,0.0,3.72,41,30,45.37
132,2,42.0,25,2025-01-10 17:41:00,110.4,1.01,9.71,109,10,119.0
133,3,,42,2025-11-05 19:04:00,20.72,0.0,1.84,0,0,22.56
134,3,152.0,41,2025-09-25 18:58:00,72.04,0.0,6.39,72,0,78.43
135,1,100.0,14,2025-10-03 18:27:00,39.7,0.0,3.52,39,20,43.02
136,3,194.0,41,2025-01-25 13:30:00,22.81,1.79,1.87,21,0,22.89
137,3,75.0,42,2025-06-19 12:32:00,70.38,0.0,6.25,70,30,76.33
138,2,152.0,25,2025-01-07 16:28:00,33.26,0.0,2.95,33,0,36.21
139,2,158.0,28,2025-12-25 14:41:00,33.76,0.0,3.0,33,0,36.76
140,2,66.0,26,2025-02-24 17:37:00,40.93,0.0,3.63,40,0,44.56
141,2,158.0,16,2025-02-23 17:03:00,42.31,0.0,3.76,42,20,45.87
142,4,81.0,46,2025-06-18 13:38:00,21.13,0.0,1.88,21,0,23.01
143,3,,42,2025-01-17 18:34:00,21.4,0.0,1.9,0,0,23.3
144,3,155.0,32,2025-12-21 12:58:00,29.63,0.59,2.58,29,10,31.52
145,1,,1,2025-09-20 14:33:00,17.45,0.0,1.55,0,0,19.0
146,4,,57,2025-05-25 15:56:00,33.01,0.86,2.85,0,0,35.0
147,3,154.0,43,2025-03-17 18:25:00,22.25,0.0,1.97,22,30,23.92
148,1,53.0,2,2025-02-15 20:20:00,50.39,0.0,4.47,50,20,54.66
149,4,66.0,60,2025-07-20 17:33:00,15.77,0.0,1.4,15,0,17.17
150,4,38.0,47,2025-08-17 12:33:00,31.95,0.0,2.84,31,30,34.49
151,4,2.0,46,2025-08-17 13:44:00,35.59,0.0,3.16,35,0,38.75
152,2,132.0,25,2025-09-17 16:10:00,54.76,2.5,4.64,52,10,56.8
153,1,52.0,2,2025-08-27 19:18:00,38.56,0.52,3.38,38,0,41.42
154,5,118.0,61,2025-12-12 17:35:00,26.84,0.5,2.34,26,0,28.68
155,3,86.0,32,2025-09-09 10:16:00,29.32,0.0,2.6,29,20,31.72
156,3,159.0,43,2025-03-02 16:38:00,35.76,0.75,3.11,35,20,37.92
157,2,50.0,29,2025-10-30 19:50:00,28.92,0.42,2.53,28,0,31.03
158,2,134.0,30,2025-03-23 20:20:00,14.77,0.07,1.3,14,0,16.0
159,1,,1,2025-12-23 11:42:00,14.34,0.0,1.27,0,0,15.61
160,3,112.0,42,2025-05-04 18:22:00,38.27,0.0,3.4,38,0,41.67
161,2,,17,2025-07-15 16:10:00,15.43,0.0,1.37,0,0,16.8
162,5,,75,2025-12-06 18:28:00,32.8,0.0,2.91,0,0,35.71
163,3,107.0,41,2025-10-25 18:01:00,22.44,0.0,1.99,22,30,24.13
164,5,166.0,73,2025-12-10 18:56:00,47.21,0.0,4.19,47,0,51.4
165,5,3.0,62,2025-12-23 14:28:00,40.87,2.23,3.43,38,30,41.77
166,3,192.0,41,2025-03-26 17:32:00,30.57,0.0,2.71,30,0,33.28
167,5,12.0,62,2025-10-25 09:17:00,25.35,0.0,2.25,25,0,27.6
168,4,,47,2025-12-26 19:38:00,39.02,0.0,3.46,0,0,42.48
169,4,,47,2025-08-23 15:51:00,9.13,0.0,0.81,0,0,9.94
170,1,,1,2025-05-19 17:55:00,25.68,0.45,2.24,0,0,27.47
171,5,188.0,73,2025-07-17 19:20:00,19.11,0.0,1.7,19,0,20.81
172,1,4.0,2,2025-07-24 20:53:00,40.82,0.0,3.62,40,30,44.14
173,4,143.0,60,2025-12-10 19:33:00,10.23,0.23,0.89,10,0,10.89
174,1,52.0,11,2025-09-06 15:09:00,80.35,0.45,7.09,79,20,86.79
175,4,141.0,60,2025-05-03 15:11:00,64.53,0.0,5.73,64,0,70.26
176,4,26.0,46,2025-11-27 20:29:00,21.16,0.0,1.88,21,20,22.84
177,4,35.0,60,2025-10-18 17:46:00,59.25,3.32,4.96,55,0,60.89
178,1,1.0,14,2025-04-30 17:40:00,44.8,2.2,3.78,42,10,46.28
179,3,125.0,42,2025-02-14 18:47:00,12.54,0.0,1.11,12,0,13.65
180,4,,46,2025-05-16 09:17:00,30.17,0.0,2.68,0,0,32.85
181,1,33.0,10,2025-04-29 12:16:00,11.48,0.0,1.02,11,0,12.5
182,4,173.0,60,2025-06-21 16:28:00,46.19,0.0,4.1,46,20,50.09
183,5,,75,2025-11-09 11:24:00,75.69,0.71,6.65,0,0,81.63
184,1,185.0,1,2025-08-02 20:13:00,18.21,0.0,1.62,18,0,19.83
185,2,,17,2025-12-23 16:05:00,21.63,0.0,1.92,0,0,23.55
186,3,99.0,31,2025-04-01 12:30:00,10.58,0.21,0.92,10,0,11.29
187,1,9.0,10,2025-08-09 14:44:00,17.42,0.0,1.55,17,0,18.97
188,1,106.0,11,2025-05-16 19:11:00,27.78,0.0,2.47,27,20,30.05
189,5,189.0,62,2025-08-29 15:37:00,49.07,0.0,4.35,49,10,53.32
190,4,,47,2025-08-07 15:46:00,15.94,0.0,1.41,0,0,17.35
191,3,183.0,41,2025-05-17 17:48:00,30.97,0.0,2.75,30,0,33.72
192,5,172.0,62,2025-12-21 10:37:00,78.14,0.0,6.93,78,20,84.87
193,1,,1,2025-07-12 19:12:00,28.6,0.47,2.5,0,0,30.63
194,5,11.0,75,2025-10-18 11:19:00,57.45,0.0,5.1,57,30,62.25
195,5,176.0,75,2025-07-27 14:12:00,41.25,0.25,3.64,41,0,44.64
196,5,35.0,73,2025-08-28 10:09:00,12.54,0.0,1.11,12,0,13.65
197,4,137.0,60,2025-11-27 14:43:00,33.23,0.0,2.95,33,0,36.18
198,3,73.0,32,2025-04-02 15:24:00,14.82,0.0,1.32,14,0,16.14
199,1,,1,2025-10-12 11:52:00,17.9,0.0,1.59,0,0,19.49
200,4,178.0,47,2025-12-04 17:01:00,35.68,0.0,3.17,35,10,38.75
201,2,2.0,29,2025-08-16 18:48:00,11.19,0.0,0.99,11,0,12.18
202,3,80.0,43,2025-02-13 12:05:00,59.01,1.68,5.09,57,0,62.42
203,2,140.0,28,2025-09-02 15:16:00,27.66,0.24,2.43,27,0,29.85
204,5,89.0,73,2025-09-20 11:22:00,16.69,0.89,1.4,15,0,17.2
205,4,,57,2025-05-07 19:10:00,14.11,0.0,1.25,0,0,15.36
206,2,178.0,26,2025-08-03 14:27:00,43.35,3.54,3.53,39,0,43.34
207,4,131.0,46,2025-07-02 13:23:00,56.84,0.25,5.02,56,0,61.61
208,4,,60,2025-10-22 19:50:00,24.55,0.0,2.18,0,0,26.73
209,2,,16,2025-06-08 18:09:00,17.62,0.0,1.56,0,0,19.18
210,1,166.0,10,2025-12-17 18:27:00,16.37,0.0,1.45,16,0,17.82
211,1,164.0,2,2025-04-17 11:16:00,29.84,0.67,2.59,29,0,31.76
212,3,75.0,41,2025-09-14 18:26:00,37.7,0.0,3.35,37,0,41.05
213,1,9.0,11,2025-05-03 17:47:00,34.38,0.0,3.05,34,10,37.33
214,3,139.0,31,2025-03-19 16:57:00,63.22,4.37,5.22,58,20,63.87
215,2,175.0,16,2025-12-24 18:36:00,30.55,0.32,2.68,30,0,32.91
216,3,123.0,41,2025-02-13 14:24:00,48.3,0.0,4.29,48,0,52.59
217,3,118.0,32,2025-10-03 14:11:00,40.8,0.0,3.62,40,0,44.42
218,5,,62,2025-08-19 17:07:00,29.36,0.0,2.61,0,0,31.97
219,5,73.0,62,2025-10-19 20:23:00,14.29,0.62,1.21,13,0,14.88
220,4,59.0,47,2025-06-08 20:32:00,37.16,2.36,3.09,34,0,37.89
221,4,101.0,57,2025-09-22 19:01:00,24.3,0.57,2.11,23,0,25.84
222,4,123.0,46,2025-10-07 13:06:00,11.63,0.0,1.03,11,0,12.66
223,2,181.0,26,2025-01-07 13:37:00,55.85,0.0,4.96,55,0,60.81
224,3,106.0,41,2025-08-17 16:20:00,41.98,0.85,3.65,41,0,44.78
225,2,,29,2025-06-16 15:34:00,20.7,0.0,1.84,0,0,22.54
226,4,199.0,60,2025-10-11 12:40:00,16.23,0.0,1.44,16,0,17.67
227,3,,32,2025-12-28 10:23:00,22.9,0.0,2.03,0,0,24.93
228,2,177.0,26,2025-10-09 15:39:00,18.67,0.38,1.62,18,0,19.91
229,3,113.0,41,2025-06-20 20:15:00,19.36,0.0,1.72,19,0,21.08
230,3,,32,2025-07-27 14:06:00,29.79,0.0,2.64,0,0,32.43
231,3,157.0,41,2025-04-01 10:35:00,14.71,0.88,1.23,13,0,15.06
232,3,109.0,41,2025-10-12 15:42:00,35.03,0.0,3.11,35,0,38.14
233,5,114.0,62,2025-12-26 18:54:00,27.54,0.0,2.44,27,20,29.78
234,3,,41,2025-10-14 13:59:00,15.11,0.21,1.32,0,0,16.22
235,5,,72,2025-09-15 08:41:00,13.82,0.0,1.23,0,0,15.05
236,1,82.0,2,2025-12-05 14:40:00,14.6,0.0,1.3,14,0,15.9
237,1,172.0,14,2025-03-27 17:01:00,52.42,0.0,4.65,52,0,57.07
238,2,90.0,16,2025-04-05 17:47:00,32.87,0.3,2.89,32,0,35.46
239,4,48.0,57,2025-11-12 14:23:00,61.55,0.19,5.45,61,0,66.81
240,4,43.0,60,2025-06-14 15:04:00,47.48,0.89,4.13,46,0,50.72
241,5,70.0,75,2025-08-10 15:29:00,39.81,0.0,3.53,39,30,43.04
242,3,31.0,31,2025-02-24 17:29:00,7.1,0.0,0.63,7,0,7.73
243,4,148.0,57,2025-04-28 18:55:00,37.68,0.58,3.29,37,0,40.39
244,3,,32,2025-10-24 20:07:00,28.14,0.0,2.5,0,0,30.64
245,4,,57,2025-09-23 20:30:00,12.45,0.55,1.06,0,0,12.96
246,5,,62,2025-07-12 19:23:00,15.55,0.0,1.38,0,0,16.93
247,3,18.0,41,2025-12-12 17:54:00,38.83,0.0,3.45,38,0,42.28
248,2,101.0,30,2025-11-05 18:09:00,26.39,0.0,2.34,26,30,28.43
249,5,19.0,72,2025-11-30 12:57:00,15.17,0.0,1.35,15,0,16.52
250,4,105.0,60,2025-11-02 18:44:00,44.14,0.0,3.92,44,30,47.76
251,2,5.0,29,2025-04-14 09:56:00,26.96,0.0,2.39,26,30,29.05
252,3,,43,2025-05-25 13:36:00,38.6,0.0,3.43,0,0,42.03
253,4,186.0,46,2025-08-17 15:09:00,31.85,0.0,2.83,31,0,34.68
254,4,116.0,60,2025-11-30 13:09:00,13.85,0.0,1.23,13,0,15.08
255,4,,46,2025-06-20 18:25:00,29.74,0.45,2.6,0,0,31.89
256,3,145.0,43,2025-12-03 20:33:00,46.25,0.95,4.02,45,0,49.32
257,3,58.0,43,2025-11-22 16:57:00,31.86,0.34,2.8,31,20,34.12
258,3,44.0,43,2025-09-13 10:38:00,41.1,0.95,3.56,40,20,43.51
259,4,169.0,60,2025-11-12 17:53:00,19.64,0.0,1.74,19,0,21.38
260,4,,47,2025-11-21 18:23:00,15.02,0.66,1.27,0,0,15.63
261,4,171.0,60,2025-07-27 10:54:00,50.43,0.0,4.48,50,0,54.91
262,4,73.0,47,2025-12-04 20:16:00,19.9,0.0,1.77,19,0,21.67
263,5,,75,2025-08-05 20:44:00,27.38,0.0,2.43,0,0,29.81
264,4,52.0,60,2025-05-28 20:57:00,32.36,0.62,2.82,31,0,34.56
265,5,162.0,72,2025-10-10 09:29:00,13.88,0.0,1.23,13,0,15.11
266,1,,12,2025-11-26 09:12:00,10.94,0.0,0.97,0,0,11.91
267,3,164.0,42,2025-06-22 16:19:00,23.98,0.0,2.13,23,10,26.01
268,4,157.0,57,2025-09-16 19:37:00,18.84,0.0,1.67,18,0,20.51
269,5,117.0,73,2025-10-26 15:31:00,18.84,0.0,1.67,18,0,20.51
270,4,79.0,60,2025-07-09 16:15:00,36.88,0.89,3.19,35,10,39.08
271,2,51.0,29,2025-09-12 16:00:00,50.3,0.38,4.43,49,10,54.25
272,2,121.0,25,2025-12-24 15:06:00,30.96,0.0,2.75,30,0,33.71
273,5,36.0,75,2025-09-24 17:13:00,41.33,1.67,3.52,39,0,43.18
274,2,166.0,25,2025-04-26 18:36:00,19.35,0.48,1.67,18,0,20.54
275,4,48.0,47,2025-07-07 12:42:00,31.85,0.42,2.79,31,0,34.22
276,1,157.0,12,2025-12-20 20:14:00,17.87,0.0,1.59,17,0,19.46
277,5,83.0,61,2025-09-29 19:53:00,42.76,0.0,3.79,42,20,46.35
278,4,118.0,60,2025-08-10 15:26:00,27.89,0.0,2.48,27,0,30.37
279,3,,42,2025-11-01 20:52:00,32.98,0.0,2.93,0,0,35.91
280,4,103.0,57,2025-06-06 18:50:00,24.99,0.0,2.22,24,0,27.21
281,3,,41,2025-08-03 18:28:00,26.88,0.0,2.39,0,0,29.27
282,5,193.0,75,2025-07-21 12:30:00,38.27,0.0,3.4,38,10,41.57
283,5,138.0,61,2025-12-24 18:15:00,18.73,0.27,1.64,18,0,20.1
284,2,86.0,28,2025-08-16 14:23:00,59.98,0.0,5.32,59,0,65.3
285,3,,41,2025-04-27 15:20:00,16.01,0.0,1.42,0,0,17.43
286,5,,62,2025-11-19 19:19:00,25.03,0.15,2.21,0,0,27.09
287,4,176.0,60,2025-09-11 15:35:00,39.37,0.0,3.49,39,0,42.86
288,3,,42,2025-04-30 08:55:00,16.51,0.0,1.47,0,0,17.98
289,5,,61,2025-11-15 13:47:00,18.64,0.49,1.61,0,0,19.76
290,5,180.0,75,2025-08-05 15:16:00,12.32,0.0,1.09,12,0,13.41
291,4,142.0,57,2025-12-18 11:53:00,10.24,0.15,0.9,10,0,10.99
292,3,9.0,42,2025-12-07 16:55:00,29.62,0.0,2.63,29,0,32.25
293,5,19.0,73,2025-11-29 16:05:00,35.23,0.0,3.13,35,0,38.36
294,5,,73,2025-11-27 16:36:00,41.49,0.0,3.68,0,0,45.17
295,5,,62,2025-10-26 20:52:00,38.9,0.0,3.45,0,0,42.35
296,2,,29,2025-06-19 19:04:00,18.48,0.0,1.64,0,0,20.12
297,2,,29,2025-08-04 15:56:00,25.83,0.0,2.29,0,0,28.12
298,1,,10,2025-08-03 08:00:00,17.06,0.47,1.47,0,0,18.06
299,2,103.0,26,2025-06-10 13:29:00,18.18,0.0,1.61,18,0,19.79
300,4,,47,2025-06-03 19:09:00,17.27,0.76,1.47,0,0,17.98
301,2,12.0,28,2025-02-26 13:34:00,32.74,0.0,2.91,32,10,35.55
302,3,,43,2025-02-10 19:12:00,33.28,0.0,2.95,0,0,36.23
303,2,,30,2025-06-08 13:49:00,27.43,0.0,2.43,0,0,29.86
304,3,77.0,41,2025-03-06 19:28:00,33.66,0.0,2.99,33,20,36.45
305,5,65.0,62,2025-12-09 12:49:00,31.27,0.0,2.78,31,0,34.05
306,3,143.0,31,2025-11-03 10:07:00,19.5,0.0,1.73,19,0,21.23
307,1,102.0,11,2025-03-22 20:12:00,58.72,1.83,5.05,56,0,61.94
308,2,135.0,28,2025-02-06 16:00:00,27.78,0.0,2.47,27,0,30.25
309,3,100.0,31,2025-06-15 20:27:00,23.33,0.21,2.05,23,30,24.87
310,5,,73,2025-11-03 12:56:00,23.02,1.05,1.95,0,0,23.92
311,3,45.0,43,2025-12-19 13:11:00,21.42,0.97,1.81,20,0,22.26
312,3,11.0,31,2025-03-02 11:51:00,24.78,0.0,2.2,24,10,26.88
313,2,82.0,16,2025-10-04 13:11:00,12.25,0.33,1.06,11,0,12.98
314,5,,73,2025-12-27 18:23:00,34.67,0.48,3.03,0,0,37.22
315,5,168.0,75,2025-07-22 11:58:00,29.21,0.41,2.56,28,0,31.36
316,5,134.0,72,2025-10-28 09:47:00,46.64,0.0,4.14,46,0,50.78
317,5,149.0,61,2025-12-20 09:10:00,25.95,0.52,2.26,25,0,27.69
318,1,134.0,12,2025-05-11 12:26:00,24.38,0.0,2.16,24,20,26.34
319,5,100.0,61,2025-10-12 11:30:00,60.98,0.0,5.41,60,0,66.39
320,5,128.0,73,2025-08-19 13:30:00,24.61,0.25,2.16,24,0,26.52
321,3,45.0,32,2025-11-09 17:42:00,39.55,0.0,3.51,39,30,42.76
322,1,,11,2025-02-08 15:15:00,20.03,0.89,1.7,0,0,20.84
323,2,128.0,16,2025-03-12 17:33:00,33.03,0.0,2.93,33,0,35.96
324,3,,42,2025-12-28 13:27:00,25.34,0.0,2.25,0,0,27.59
325,3,,31,2025-03-09 18:40:00,27.05,0.89,2.32,0,0,28.48
326,1,60.0,12,2025-03-16 12:25:00,32.54,2.65,2.65,29,0,32.54
327,2,159.0,16,2025-08-03 16:28:00,36.33,0.0,3.22,36,0,39.55
328,5,174.0,72,2025-09-27 13:59:00,41.5,1.18,3.58,40,0,43.9
329,2,157.0,30,2025-12-31 12:29:00,33.1,0.0,2.94,33,0,36.04
